uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_degree,SVC_kernel,SVC_max_iter,SVC_verbose,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,RidgeClassifier_alpha,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights
random_over,minmax,0.1,knn,2750409,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chebyshev,23,distance
smote,minmax,1.0,rf,12817326,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.5483091787439613,0.631525076765609,0.5842027163680831,0.028366861378808027,0.9608938547486033,0.9812680115273775,0.9720291986330902,0.006915414981236276,0.7035123966942148,0.7664596273291926,0.7293461234761462,0.02147920955586917,0.9935158430729004,0.996238578681123,0.9950488555022332,0.0009355406137429954,0.9577756427890045,0.9667870218738334,0.9635115776523946,0.003696954122446365,0.9378249566724437,0.9597860962566845,0.9470279808302295,0.007434295134853521,7775.0,8366.0,,,,,,,,,,,,,,False,balanced_subsample,gini,334,8,7,170,,,,,,,,,,,,,,,
random_under,standard,0.8,sgd,17637397,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09087989723827875,0.15298804780876493,0.12437843606164316,0.024559734769834207,0.38497652582159625,0.553314121037464,0.48812685287679114,0.06277208101075024,0.15105417667467308,0.23970037453183518,0.1977761094926213,0.03572205805523429,0.6244693369405282,0.7247548339581042,0.6739289857130393,0.04247655837178057,0.09642960086190142,0.14978810652829683,0.12241452836856197,0.0224174866547946,0.6597860962566845,0.7405762564991335,0.7075385054157171,0.03385876158227464,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.882805166596943,True,0.8184511226354291,invscaling,squared_loss,l2,,,
random_under_bootstrap,standard,0.8,knn,28214946,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.14335570469798659,0.1795343137254902,0.16431227671478937,0.012912499736465717,0.8128491620111732,0.8443804034582133,0.8321191364272733,0.01182692918434136,0.24506654428636993,0.2961091460333502,0.27418108725311746,0.01807951422525789,0.7899599138144292,0.836085903129795,0.8099369192430486,0.016925600304411995,0.33510871913979845,0.43867193457358833,0.38252120774394777,0.036171271516156775,0.6481283422459893,0.6982235701906413,0.677833447041795,0.01968707136368619,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manhattan,3,uniform
random_under_bootstrap,standard,0.5,sgd,26045750,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.052845528455284556,0.10801665799062989,0.08818191806621281,0.019225231345119626,0.04107424960505529,0.9654178674351584,0.5880643377304346,0.3025084799183973,0.04622222222222221,0.18298059964726632,0.14516500699536433,0.050305702699710464,0.601421119742463,0.6758114355749256,0.6296605979570206,0.027630272716674276,0.08529322299370694,0.12822029844337823,0.10273476166131323,0.017554630892221847,0.25357917570498917,0.88524064171123,0.5516331443865359,0.20405902306275814,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,0.34657373748352205,optimal,perceptron,l2,,,
random_over,standard,1.0,ridge,10011847,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09663968604365955,0.11799096465585969,0.11019442863480647,0.007406247392336244,0.6224328593996841,0.6512968299711815,0.6363433530753586,0.00953710212354623,0.1673036093418259,0.19923715503702044,0.18778398835809465,0.0111800888477504,0.6420194347048611,0.6780782708663693,0.6615433984099337,0.015357381075498295,0.10030102000313781,0.12745333466328707,0.11450894323017194,0.010057165231656062,0.5787767451912686,0.6181699913269731,0.5979396631982087,0.016244962413562398,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3784006070962542,,,,,,,,,
smote,standard,0.5,svm,21916750,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.1927710843373494,0.2377514182568334,0.22038071239682763,0.015983297878734128,0.40442338072669826,0.6642651296829971,0.5146186108159247,0.09900064893701498,0.26109127995920445,0.35017090770983667,0.30754123666017813,0.03216922900284345,0.7710703477307601,0.8282789671264522,0.7974046818774461,0.022014815477224635,0.17365497931500307,0.24554854075849886,0.21508656259116013,0.026698596883345405,0.8146663778162911,0.8469210754553339,0.8329629755725895,0.012444684320037747,9209.0,9338.0,0.13,,rbf,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,0.7,rf,18293769,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0000000000000002,1.0,1.4043333874306804e-16,1.0,1.0,1.0,0.0,146.0,185.0,,,,,,,,,,,,,,True,balanced_subsample,entropy,88,1,2,294,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.7,knn,27570336,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.19987369750552572,0.2555228276877761,0.2333252007862605,0.01996452730662478,1.0,1.0,1.0,0.0,0.3331578947368421,0.4070381231671554,0.3779386372010746,0.026507153416353357,0.9830171000234247,0.9872089021452335,0.984978712401276,0.001604864431798133,0.8526422764227642,0.8697429906542056,0.8621908371313193,0.007210839547328806,0.7289839572192514,0.7809792027729636,0.7590734295385647,0.01834505671487393,4948.0,5979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chebyshev,5,distance
random_under_bootstrap,minmax,0.5,lr,14020753,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07630522088353414,0.20810810810810812,0.15326571901961697,0.04502120321630916,0.020537124802527645,0.1674491392801252,0.07633391019904309,0.055675752815327814,0.03566529492455418,0.173419773095624,0.09545037452106825,0.05541958576101378,0.6298817603415526,0.7707193742435073,0.6933146284005173,0.05299321274807159,0.09905687178734676,0.1759074467233972,0.13156616022778742,0.02629215177960529,0.8894189071986123,0.9248128342245989,0.90465955264097,0.01168020180021087,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,20000,l2,saga,,,,,,,,,,
