uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RidgeClassifier_alpha,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SVC_degree
random_under,minmax,0.8,lr,4975378,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.12643678160919541,0.19442131557035802,0.1572714838499004,0.02379698722268299,0.382306477093207,0.6729106628242075,0.5397727062157682,0.10542703234108466,0.19002748331370242,0.3016795865633075,0.2432647148164541,0.038817505038553766,0.6854141487072618,0.7800492526038871,0.7298291063666787,0.03642872363789249,0.11475325000954767,0.18199649603246465,0.14641720601687985,0.024036655316373133,0.7397007805724197,0.7793582887700535,0.7570973388122879,0.014228977664842043,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2699402786597127,20000,elasticnet,saga,
random_over,minmax,1.0,sgd,24794127,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09929742388758782,0.14129353233830846,0.11802093846487058,0.014043418736397853,0.669826224328594,0.8184438040345822,0.7402446540408839,0.051158488250331466,0.1729553334693045,0.2409843020789139,0.20350335796204289,0.02271114032942506,0.6844039746561212,0.7662712147017943,0.7224947440822023,0.030008361664180153,0.11059925626861895,0.15981643979674995,0.13614164674766835,0.019092148256478824,0.5617030473308839,0.6124350086655113,0.5759794544536673,0.01846427956478176,9220.0,9350.0,,,,,,,,,,,,,,,0.1879319150743879,False,0.36838511953336706,invscaling,epsilon_insensitive,l1,,,,,,,,,,,,,,,
smote,standard,0.3,lr,15857157,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11123081066523027,0.16110761485210826,0.1326768740148978,0.0162695223803842,0.6524486571879937,0.7377521613832853,0.6859357435987345,0.028194407739828592,0.19005982512655317,0.2644628099173554,0.2221488129786505,0.024244928452751367,0.6863480250771087,0.7695218123014048,0.719230012256888,0.03073885574276916,0.116724345512456,0.1707769898155092,0.13919464915481017,0.019112206854401053,0.6148692457315755,0.6915077989601387,0.6473556556299046,0.027367244549314936,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,balanced,,20000,l1,saga,
random_under_bootstrap,minmax,0.8,svm,29009794,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07518439210088032,0.08790623335109217,0.08113953919704181,0.004907233749179337,0.4553314121037464,0.4849921011058452,0.4727276448130186,0.009698315447860532,0.12905860731059832,0.14838129496402877,0.1384495745009993,0.007270745323704636,0.5239487825339815,0.5421662977446817,0.5325680581916301,0.006148071046471534,0.07350912324398229,0.08754191431777203,0.08246316522339078,0.005094264828888003,0.5374186550976139,0.5896880415944541,0.5704964471784935,0.01768868618458775,9220.0,9350.0,,,,,,,,,,,1.11,sigmoid,25000,False,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.7,rf,22089945,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.4686373467916366,0.521383075523203,0.4972159330792406,0.017788221453091807,0.9052132701421801,0.9365994236311239,0.9196631946066194,0.012105117364188591,0.6246996636232579,0.6616628175519631,0.6451168784879333,0.01229162760207416,0.9793960879459688,0.9842081805529351,0.9827950712870905,0.001727688636108947,0.8800643627532018,0.891539819081525,0.8849537554514463,0.00391582702213321,0.9154029462738301,0.9373262032085562,0.9259433819199023,0.007354057171858328,9074.0,9301.0,,,,True,,gini,326,7,4,493,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.7,xgb,16864884,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.940379403794038,0.960546282245827,0.9498579960691995,0.007199479110931327,1.0,1.0,1.0,0.0,0.9692737430167598,0.9798761609907121,0.9742703034230388,0.0037851070306876835,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9952339688041595,0.9972192513368984,0.9961292484338445,0.0006920004919175027,9198.0,9326.0,,,,,,,,,,,,,,,,,,,,,3,0.3,aucpr,1,25,binary:logistic,51,35853,,,,,,,
random_under,standard,0.8,rf,29514648,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.19654140339208515,0.2905829596412556,0.2389033775178177,0.03637156050609524,0.9236311239193083,0.9389671361502347,0.9331438636727846,0.005134221024327955,0.32472527472527474,0.4432284541723666,0.3789363497507604,0.045450635358037166,0.9050568689570107,0.9315943370306539,0.9170759728574532,0.010756526341007181,0.37145086365243296,0.4861267113424325,0.43299793165993516,0.04299483136287187,0.7371122994652406,0.8236568457538995,0.7731053157372516,0.03639365833707347,8829.0,9232.0,,,,False,balanced,entropy,453,8,8,92,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.3,rf,5970119,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.8467966573816156,0.9250398724082934,0.8873217079689886,0.03333435862434369,0.8100558659217877,0.8760806916426513,0.8562034816272238,0.024030175460331902,0.853448275862069,0.8934092758340114,0.8707624347301696,0.014700527382192834,0.9934098850709915,0.9960218280235764,0.9945328639868007,0.0009771084279538715,0.9432441366547457,0.9626643297692894,0.9521883632163863,0.006506335615949218,0.9778741865509761,0.9859893048128342,0.9813408487712607,0.0030906827880041385,8180.0,8930.0,,,,False,,gini,384,7,4,452,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.5,lr,12158966,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.1391035548686244,0.20803295571575695,0.1618259684491698,0.024876833431964552,0.11033519553072625,0.2910662824207493,0.17728075917248268,0.06361650837252271,0.12579617834394904,0.24264264264264263,0.1673813358649612,0.0418497525427726,0.6584318740667747,0.7611554177526745,0.6991408476867174,0.034508643179903896,0.11417226843257616,0.17111534701147518,0.13221416222866234,0.02095603181724546,0.8634098786828422,0.8835646140503035,0.8751503923653445,0.008949059222173546,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,l2,lbfgs,
random_under_bootstrap,minmax,1.0,knn,32194101,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.1488711194731891,0.19549295774647887,0.17504052145186125,0.016310056379498047,1.0,1.0,1.0,0.0,0.25916069600818836,0.3270499528746466,0.29760153395007016,0.023740704141219777,0.998827117053718,0.9999417588817705,0.9993457671840605,0.0004448242156771414,0.9859943977591037,0.99921875,0.992025271076527,0.005240573502503473,0.6129411764705882,0.6906412478336221,0.6539266360995212,0.029124660851991165,7701.0,8084.0,chebyshev,21,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
