uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,RidgeClassifier_alpha,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,SVC_degree
,minmax,0.3,lr,12501164,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10939989378651088,0.15830235439900867,0.13066834116451664,0.015965642983443013,0.65086887835703,0.7363112391930836,0.6826198160762846,0.029116598195091107,0.18731529893157534,0.2605813360530342,0.21915765848582947,0.023913677793115044,0.6796449589151882,0.7674262476685009,0.7160301334112189,0.032044152464105274,0.11610392731955403,0.17116445223362342,0.1382708253718491,0.019857550369355364,0.6096822995461422,0.6858752166377816,0.6429309346239788,0.027578619683486367,9220.0,9350.0,balanced,,20000,none,lbfgs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.5,xgb,26668843,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.17304537998906505,0.24946081955427749,0.2105774430690687,0.0259978722926635,1.0,1.0,1.0,0.0,0.29503612211605684,0.3993095512082853,0.3471344252805263,0.03546347596423651,0.9759155205782861,0.9844335513344755,0.9807060346740458,0.0028053671183289235,0.6466219166610162,0.7027751933569135,0.6772254715668556,0.020966981082234524,0.6764705882352942,0.7738301559792028,0.7228827170681514,0.033010434909957864,9211.0,9345.0,,,,,,,,,,,,,,,,,,,,1,0.1,aucpr,1.5,30,binary:logistic,48,32176,,,,,,,,
,standard,0.7,lr,7425056,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10939989378651088,0.15830235439900867,0.13066834116451664,0.015965642983443013,0.65086887835703,0.7363112391930836,0.6826198160762846,0.029116598195091107,0.18731529893157534,0.2605813360530342,0.21915765848582947,0.023913677793115044,0.6796438138535446,0.7674269227316023,0.7160305643756221,0.032045323489222455,0.11610252400202156,0.1711658535459395,0.13827076903839064,0.019858568883223036,0.6096822995461422,0.6858752166377816,0.6429309346239788,0.027578619683486367,9220.0,9350.0,balanced,,20000,none,lbfgs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.7,ridge,11740856,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09897404948702475,0.15605846298915607,0.1301376837499952,0.02270390425379756,0.24860335195530725,0.5179968701095462,0.3253097007314031,0.09871165024329381,0.14323144104803492,0.23985507246376817,0.1845170864443872,0.035134805481511516,0.626656416317845,0.7348217174658642,0.6724646535232234,0.04032069223544727,0.09916244548832495,0.13964715063375308,0.12057417701103446,0.01700165511225031,0.7725498699045967,0.8207322357019065,0.7942641672284868,0.016013419075155973,9220.0,9350.0,,,,,,4.1530296960582405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.7,rf,17600830,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.2151986183074266,0.32007487131492746,0.26448593873255655,0.03921548166837865,0.9842022116903634,0.9890453834115805,0.9861013889992982,0.0017632351867121854,0.3531746031746032,0.4832214765100671,0.4155840899535768,0.04848560868152672,0.9370306718491096,0.9506198091866637,0.9448538045114929,0.005345246418771252,0.4493146124325852,0.5616426566687176,0.5214812544347478,0.04047667534487073,0.7559358288770054,0.8415294627383015,0.7944757156705202,0.03309348137686418,8888.0,9298.0,,,,,,,False,balanced,entropy,180,5,8,393,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.3,ridge,31374636,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.15217391304347827,0.09146748010274082,0.058052726495472,0.0,0.012519561815336464,0.00624145522848999,0.004848798553673169,0.0,0.022922636103151865,0.011632140281036612,0.008936571476094437,0.6384970552900844,0.6718715719451875,0.6582375316971465,0.014433938058018273,0.10046058027450769,0.12665343999315196,0.11424129642922456,0.009781955618488315,0.9205748865355522,0.9298395721925133,0.923840796830073,0.0035738165404018245,9220.0,9350.0,,,,,,4.213275765317042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,standard,1.0,lr,33166675,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10969254820218864,0.1571601941747573,0.1294017155190207,0.01556242442364189,0.665086887835703,0.7463976945244957,0.6935946214701518,0.028204440755712393,0.18832475956161934,0.2596491228070176,0.2179276312158152,0.023391749384170858,0.6785378478860854,0.7685595098501832,0.7153225930023871,0.032673400995554214,0.11548720700938332,0.1690508933299445,0.1369951830521185,0.01939492989998649,0.6026583099200346,0.6800259965337955,0.6346684647324949,0.027480340283643788,9220.0,9350.0,balanced,,20000,none,saga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.3,nb,4696471,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10681916271040139,0.17223011363636365,0.13584492946932605,0.021803195305951227,0.5633802816901409,0.8371757925072046,0.7377312855209202,0.09858288819525499,0.1879627871653693,0.2763532763532764,0.22736934527024982,0.028467067690683558,0.6991848834176867,0.7817708322785473,0.7423620639589293,0.02822043173072405,0.11274020480894045,0.2020368758145107,0.15863690762187327,0.028979146987078187,0.5425668449197861,0.7388334778837814,0.6245339676259423,0.08798656475320799,9181.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,1.0,ridge,4744096,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10111788617886179,0.14632683658170914,0.12383818061059845,0.014675863129387913,0.6287519747235387,0.7031700288184438,0.6618047256767193,0.024035256332428097,0.17421755307507114,0.24224373293621249,0.2084344496537483,0.022008493350338058,0.6582307890684452,0.7376052975100404,0.6972860461627275,0.025818285739419203,0.10842064179360891,0.15673928405790222,0.1307930349311784,0.015484682218507207,0.5964705882352941,0.6688720173535792,0.6312576661296824,0.02429140926668106,9220.0,9350.0,,,,,,4.363678004489255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.7,rf,33275928,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.20695533583361744,0.31188351338656645,0.2563122364913226,0.038400440047565924,0.9553314121037464,0.9671361502347418,0.9589739115283813,0.0042400969026882085,0.340437464946719,0.4704215373715905,0.4029580949101197,0.04735353980110189,0.9237826034399924,0.9440458759382533,0.9328752253270046,0.0076653476728398935,0.41892922236540375,0.5381657965440627,0.48269164317918134,0.042449785929044775,0.7484491978609625,0.8380632582322357,0.7893806853792003,0.033607609591330675,8757.0,9248.0,,,,,,,False,balanced_subsample,gini,322,6,5,96,,,,,,,,,,,,,,,,,,,,,,
