uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose
smote,standard,0.5,rf,27695286,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9999999999999999,1.0,1.0,4.965068306494546e-17,0.9999999999999998,1.0,1.0,9.930136612989092e-17,1.0,1.0,1.0,0.0,157.0,188.0,,,,,,,,,,,,,False,balanced,gini,217,1,3,318,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.7,xgb,3958802,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.12795633717404487,0.18345228654507004,0.1525349718120516,0.019693028283927574,1.0,1.0,1.0,0.0,0.22688172043010751,0.31002903730176457,0.264190589791994,0.02950836399844912,0.9514439768507361,0.9599163516442332,0.9563784726748029,0.0027857375470547625,0.4808583425679179,0.5161851205877123,0.4972536917741267,0.011716656135998371,0.5386096256684492,0.6654029462738301,0.5892961540187706,0.045571230968456784,9206.0,9332.0,,3,0.1,aucpr,3,40,binary:logistic,68,52347,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.3,sgd,23962059,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6482830937568017,0.7480514303574527,0.6910881136587359,0.03277748619287444,0.10014882965498892,0.16735052264824724,0.12770788106793993,0.022320934840607962,0.9226280527339529,0.9322994652406417,0.9269547960512853,0.0038212588739991974,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,0.9972546824314437,True,0.1658490100551001,invscaling,huber,elasticnet,,,,,,,,,
adasyn,minmax,0.7,sgd,17203791,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.1804089709762533,0.0817730086655349,0.05971508778603786,0.0,0.7881844380403458,0.16545807633419665,0.3114514533360929,0.0,0.2936124530327429,0.07190827460514537,0.11152764103722211,0.6816942920967192,0.7833803514783544,0.725808739368908,0.03711475800470204,0.1235400396502977,0.17909605981414548,0.14677567594155208,0.021618872254932326,0.7149046793760832,0.9281283422459893,0.8791708712815683,0.08229316231754626,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,0.5799235887873375,True,0.1821043829710789,adaptive,huber,l2,,,,,,,,,
adasyn,standard,1.0,knn,7576960,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.2324641939037826,0.2661290322580645,0.24950289022179906,0.012777035722500102,0.9984350547730829,1.0,0.9993988265165763,0.0007373279508613575,0.3772348033373063,0.4202546998180715,0.3991472930053544,0.016383757750115288,0.9903935871313392,0.9936289623823436,0.9922635814664911,0.0010447546150303918,0.9429854441910634,0.9577022129523697,0.9511221314486595,0.004751608313360173,0.77199049059866,0.792894280762565,0.7805463586841894,0.007280322981188496,10.0,10.0,,,,,,,,,,euclidean,9,uniform,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.8,xgb,30410259,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.9353099730458221,0.9701897018970189,0.9574792149830387,0.012170811004546615,1.0,1.0,1.0,0.0,0.9665738161559888,0.984869325997249,0.9782380555472233,0.006389866377340668,0.9999999999999999,1.0,1.0,4.965068306494546e-17,1.0,1.0,1.0,0.0,0.9948006932409013,0.9976226496650097,0.9967347906501598,0.0010567910698214234,9207.0,9337.0,,1.5,0.3,error,3,37,binary:logistic,48,959,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,standard,0.8,nb,17354185,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09642918751078144,0.12556794712928543,0.11026802536306839,0.009596033106090775,0.8760806916426513,0.914804469273743,0.8946818434969499,0.01576583385786876,0.17387247278382584,0.21965317919075145,0.19618038607363153,0.015107722755402965,0.6950564720640843,0.777540464969963,0.7362383401553696,0.028667016991844648,0.11025081887686539,0.19851320146368612,0.1540179725612661,0.029283137802331688,0.41171385346877026,0.5320623916811091,0.4627672154971426,0.041341245334364,9184.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,0.5,rf,25539561,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.7694013303769401,0.8791666666666667,0.8288277799301866,0.04241735401353472,1.0,1.0,1.0,0.0,0.869674185463659,0.9356984478935698,0.9058106385380287,0.02555537813728966,0.999975494520575,1.0,0.9999929397392983,9.636944367636986e-06,0.9996756557331042,1.0,0.9999080491226184,0.000127074768177821,0.9774696707105719,0.9906951871657754,0.9845760626302408,0.005039043997893641,4024.0,4880.0,,,,,,,,,,,,,False,balanced_subsample,gini,438,4,2,96,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.5,knn,286761,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.17341040462427745,0.23543123543123542,0.20287410378483592,0.021256542268959212,0.6103351955307262,0.7276657060518732,0.6566124146841295,0.04471641453090456,0.27064538514920194,0.35575907009510394,0.30980778689431493,0.029433198137515975,0.7857721497515069,0.847653615671725,0.8114072467390974,0.022681930040926224,0.2074007296228727,0.32188317375907716,0.2595713748126747,0.042065898559622096,0.775187165775401,0.8018847487001733,0.7863758002193068,0.00899909521067105,8.0,8.0,,,,,,,,,,euclidean,7,uniform,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.5,xgb,27021286,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.3231046931407942,0.39142695995487875,0.35690460578683536,0.029719813990938333,1.0,1.0,1.0,0.0,0.48840381991814463,0.5626266720713418,0.5253500344542548,0.03228110449441991,0.9958276037352592,0.9988740202045685,0.9971641411673298,0.0010306285621080194,0.947694059731689,0.9824208117798693,0.9609710487112947,0.01290663988078988,0.8379079317052086,0.8831239168110918,0.8673687469422322,0.016997268507921017,9218.0,9346.0,,1.5,0.1,aucpr,1,9,binary:logistic,57,36402,,,,,,,,,,,,,,,,,,,,,,,,,
