uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_degree
adasyn,minmax,0.8,lr,27789985,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10754081368230112,0.15573026912609617,0.12822867197374674,0.015613690293485095,0.655608214849921,0.7420749279538905,0.6904947800261855,0.02841289611472084,0.1847729296527159,0.25743564108972755,0.21610785709663602,0.023518346861902576,0.6779026658343704,0.764718400802515,0.712665589783349,0.03168792203985225,0.11516140728548246,0.16722468917662192,0.1359325067267069,0.018739247408012024,0.5997406526907283,0.678184575389948,0.6322732207764482,0.028280625250696776,9220.0,9350.0,,,,,,,,,,,,,,,,,balanced,0.5742580205493852,20000,elasticnet,saga,,,,,,,,,,,,,,
,minmax,0.3,knn,20075570,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,,,,,,,minkowski,18,distance,,,,,,,,,,,,,,,,,,,
,standard,0.5,svm,14188175,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34255092452078684,0.6115492833192582,0.4619541173902292,0.0898661900696816,0.04778002058647906,0.10017245110940583,0.06685813000014047,0.017701256451488283,0.9226280527339529,0.9322994652406417,0.9270414511639368,0.0037667150346901357,9220.0,9350.0,1.01,linear,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.5,ridge,20394116,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.12267657992565056,0.19679633867276888,0.1570737722665195,0.025478857198988267,0.046089385474860335,0.1239193083573487,0.08264922720750548,0.025360075754698223,0.06700507614213198,0.15207780725022105,0.10752518687210766,0.02749498349657266,0.6520417757746833,0.7006913658754252,0.6671846654081098,0.018433791231702246,0.10560928745296883,0.14029730329914472,0.11857990937775989,0.012680330721931832,0.8961221837088388,0.9051336898395722,0.9015909520739867,0.0030765618335614796,9220.0,9350.0,,,,,4.1544620822800855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.5,sgd,27645847,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.022277227722772276,0.08653524891413297,0.07285141893173583,0.02530838316861607,0.04265402843601896,0.8674351585014409,0.5160906969722253,0.2895354326527071,0.02926829268292683,0.1526562698110815,0.12496747283668692,0.0480914185141277,0.37442987418494234,0.5966934721641177,0.5187990514663665,0.07566962279791388,0.04921674051965194,0.09307832346205241,0.07607951437133076,0.014540792316464747,0.27610485268630847,0.8084491978609626,0.535556186501096,0.18756520050410885,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,0.0,False,0.4823441800918111,optimal,squared_epsilon_insensitive,l2,,,,,,,,
adasyn,minmax,0.5,ridge,13136261,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07926829268292683,0.17870722433460076,0.135137439486875,0.032402844100321106,0.018156424581005588,0.06772334293948126,0.0441015952332741,0.016354440498186983,0.029545454545454545,0.09822361546499477,0.06612183608271699,0.022385733190405637,0.6385949192993444,0.6725488290017909,0.6579611752893209,0.014734159735179272,0.1003911322828909,0.12534635572978442,0.1136573080704361,0.009556849251882243,0.9065207972270364,0.9164705882352941,0.910530848235495,0.003473021883065626,9220.0,9350.0,,,,,4.111207314041417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,1.0,ridge,17278596,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09610645638245441,0.11899736147757256,0.10984141746697981,0.00786961496800423,0.6161137440758294,0.6512968299711815,0.6366155348492624,0.01338814938891947,0.16627584736729908,0.20115967885816236,0.18729207172323864,0.012057171007335898,0.6420861272148756,0.6788772080470221,0.6619158153330236,0.015189894999447246,0.10060037506420738,0.12770892631712744,0.11447293819726934,0.00998724571341087,0.5782364382969527,0.613074588031223,0.5964624985261497,0.014614382018630773,9220.0,9350.0,,,,,4.721644862192214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.5,ridge,30071553,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.08139534883720931,0.18507462686567164,0.14069106546303198,0.03379997972345164,0.019553072625698324,0.0893371757925072,0.06506319026185628,0.023771550400027236,0.03153153153153153,0.12050534499514091,0.08829317059977401,0.02998354878053407,0.6397152809757259,0.6722416752905978,0.6579641303097955,0.014223154695065398,0.10020906764271334,0.12599615425458066,0.11372176566717367,0.009588644751861207,0.8997830802603037,0.9084491978609626,0.9044602503411692,0.0031969754383421806,9220.0,9350.0,,,,,1.1540612254623317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.1,rf,27013346,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.9914285714285714,0.9984375,0.9949878809647921,0.0027570790456206986,1.0,1.0,1.0,0.0,0.9956958393113342,0.9992181391712275,0.9974857292506714,0.0013857565597829597,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9993500866551126,0.9998915871639202,0.9996330824186945,0.00019977319616338747,4026.0,4838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,balanced_subsample,gini,105,1,7,244,
smote,standard,0.3,lr,9519807,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11123081066523027,0.16110761485210826,0.1326768740148978,0.0162695223803842,0.6524486571879937,0.7377521613832853,0.6859357435987345,0.028194407739828592,0.19005982512655317,0.2644628099173554,0.2221488129786505,0.024244928452751367,0.6863476626178151,0.7695228248960573,0.7192298043864132,0.03073939529431702,0.11672434489062583,0.17077773689775697,0.13919457506785146,0.01911251331945333,0.6148692457315755,0.6915077989601387,0.6473556556299046,0.027367244549314936,9220.0,9350.0,,,,,,,,,,,,,,,,,balanced,,20000,l1,saga,,,,,,,,,,,,,,
