uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,RidgeClassifier_alpha,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators
adasyn,standard,0.8,sgd,32325707,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.03661417322834646,0.13225499524262607,0.07899998587628589,0.03135751810950078,0.1340057636887608,0.7849162011173184,0.4165527968203212,0.23349449746373627,0.0575139146567718,0.15931232091690548,0.12333160416005803,0.03710202426628029,0.38177805545373356,0.7046415406071005,0.5269231443753951,0.10349266542299876,0.055673504424586656,0.1281244373526257,0.08006215563563923,0.02504582061501098,0.35454938405014047,0.8408893709327548,0.5809185705448497,0.16451231883861955,9220.0,9350.0,,1.2661582655198074,True,0.014841884320521803,constant,log,elasticnet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,0.1,lr,12650086,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10939989378651088,0.15841584158415842,0.1307653355231005,0.015993096568078975,0.65086887835703,0.7377521613832853,0.683475514561304,0.029430486069056024,0.18731529893157534,0.260825267447784,0.21934063269185405,0.023977106717622616,0.6794542243614154,0.7672444869284156,0.7158503716810773,0.03205385051121407,0.11604690872122736,0.17108004080025363,0.13818735551340217,0.019841266601819067,0.6095742381672791,0.6856585788561526,0.642865975978373,0.027559058065776368,9220.0,9350.0,,,,,,,,,,,,,,,balanced,0.5911717912742338,20000,elasticnet,saga,,,,,,,,,,,,,,,
,standard,1.0,svm,17033532,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.017825311942959002,0.046762589928057555,0.033592328528552165,0.00931728707319961,0.01440922190201729,0.0406885758998435,0.028688955823804686,0.008449123300865056,0.01593625498007968,0.04351464435146444,0.03093852837214537,0.008862707452188185,0.38151327420889325,0.44761040555389126,0.42684472797717604,0.024902055991787603,0.056331978157535635,0.06309333102818397,0.059208072829907574,0.002519058102106751,0.8620390455531454,0.8783957219251337,0.8693175456630946,0.00664390605223845,9220.0,9350.0,,,,,,,,,,,0.45,sigmoid,25000,False,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.1,knn,21475196,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.5076923076923077,0.589041095890411,0.54601756412367,0.027174216110327325,0.014218009478672985,0.06484149855907781,0.04328107429289292,0.020542948621673888,0.02769230769230769,0.11612903225806451,0.07904237956719562,0.03590847545084211,0.8257271250580615,0.8812348828056702,0.852117003304051,0.019960302405067347,0.251512154047949,0.3641965068144531,0.30946509026594027,0.04266036494118673,0.9229522368705425,0.9324064171122994,0.9276263305978736,0.003479053353319749,11.0,13.0,,,,,,,,manhattan,17,uniform,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.3,ridge,8614191,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.047619047619047616,0.13953488372093023,0.10264466843103026,0.036654646373161195,0.0013966480446927375,0.012519561815336464,0.00658518232283511,0.003962357620257897,0.00271370420624152,0.022922636103151865,0.012311391856984103,0.0072290487305781475,0.64045469793458,0.6735025243984681,0.6598238878858529,0.01474282174934892,0.1008810600899652,0.12777893599586365,0.1150167781774647,0.009998782943310186,0.9205748865355522,0.9297326203208556,0.9238193782599347,0.00353863472064667,9220.0,9350.0,4.448213157536503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,0.8,lr,21204869,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10937085213697903,0.15826893353941268,0.13071612041528194,0.01595378266965232,0.65086887835703,0.7377521613832853,0.683475514561304,0.029430486069056024,0.18727272727272729,0.2606261135148893,0.21927238683985378,0.023924721213414747,0.6794691101627819,0.7671823811230755,0.7158353101277839,0.03202767771008555,0.11603988027315414,0.1710441130998467,0.13817560521478592,0.019829946362531832,0.6094661767884159,0.6853336221837089,0.6427362994265642,0.027492244782216416,9220.0,9350.0,,,,,,,,,,,,,,,balanced,0.25820714792230326,20000,elasticnet,saga,,,,,,,,,,,,,,,
random_over,minmax,0.5,xgb,23713542,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.6522556390977443,0.73094688221709,0.6921335432482919,0.026541217671572633,1.0,1.0,1.0,0.0,0.7895335608646189,0.8445630420280187,0.8177690753899199,0.018562154286404845,0.999998647973549,1.0,0.9999994589391765,4.932649650159298e-07,0.9999833808583416,1.0,0.9999933333559057,6.045435209497041e-06,0.9599220103986135,0.9750802139037433,0.9672870201392134,0.005052200910728173,9209.0,9338.0,,,,,,,,,,,,,,,,,,,,3,0.1,aucpr,1,32,binary:logistic,72,6878,,,,,,,
random_over,minmax,0.8,nb,32638362,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09434276206322795,0.12797305830351505,0.1105728275682059,0.01099199729660597,0.8760806916426513,0.9273743016759777,0.9018399656025935,0.01807623255859414,0.17070600632244468,0.22332415059687785,0.19676874693865265,0.017221041980183833,0.7007128305696719,0.7812339883470607,0.7409733593618198,0.02781545139738565,0.11261583935503847,0.20202990186108394,0.1576072032281477,0.02945588362885704,0.40263669764426196,0.541919410745234,0.4592731816574241,0.050464444538240526,9184.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.1,sgd,21332076,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4869680479446655,0.5469007835669297,0.5256120302977878,0.02105938821372575,0.062441426400757505,0.08015307228260848,0.07455761273208247,0.006918260871563128,0.9225199913550897,0.9320855614973262,0.9267602888100462,0.0037271592514225077,9220.0,9350.0,,1.7278813970955071,False,0.14969578810627182,adaptive,modified_huber,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,minmax,0.7,nb,11354382,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09612724757952974,0.13333333333333333,0.1130871682620592,0.012203588669493561,0.8703170028818443,0.914804469273743,0.8893367958057373,0.01613834719106896,0.1732896992364033,0.23124042879019907,0.20039944777360091,0.01897709657078791,0.7006102545895955,0.7811647943791546,0.7411221656267676,0.02792874142711991,0.11259549502345238,0.20186306443882437,0.1576536138134338,0.029473516919990537,0.41787335206397236,0.5649913344887348,0.478151880482592,0.05191402738224905,9183.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
