uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_degree
adasyn,minmax,0.8,lr,27789985,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.107540814,0.155730269,0.128228672,0.01561369,0.655608215,0.742074928,0.69049478,0.028412896,0.18477293,0.257435641,0.216107857,0.023518347,0.677902666,0.764718401,0.71266559,0.031687922,0.115161407,0.167224689,0.135932507,0.018739247,0.599740653,0.678184575,0.632273221,0.028280625,9220,9350,,,,,,,,,,,,,,,,,balanced,0.574258021,20000,elasticnet,saga,,,,,,,,,,,,,,
,minmax,0.3,knn,20075570,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,2,2,,,,,,,,,,,,,,minkowski,18,distance,,,,,,,,,,,,,,,,,,,
,standard,0.5,svm,14188175,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0,0,0,0,0,0,0,0,0,0,0,0,0.342550925,0.611549283,0.461954117,0.08986619,0.047780021,0.100172451,0.06685813,0.017701256,0.922628053,0.932299465,0.927041451,0.003766715,9220,9350,1.01,linear,25000,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.5,ridge,20394116,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.12267658,0.196796339,0.157073772,0.025478857,0.046089385,0.123919308,0.082649227,0.025360076,0.067005076,0.152077807,0.107525187,0.027494983,0.652041776,0.700691366,0.667184665,0.018433791,0.105609287,0.140297303,0.118579909,0.012680331,0.896122184,0.90513369,0.901590952,0.003076562,9220,9350,,,,,4.154462082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.5,sgd,27645847,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.022277228,0.086535249,0.072851419,0.025308383,0.042654028,0.867435159,0.516090697,0.289535433,0.029268293,0.15265627,0.124967473,0.048091419,0.374429874,0.596693472,0.518799051,0.075669623,0.049216741,0.093078323,0.076079514,0.014540792,0.276104853,0.808449198,0.535556187,0.187565201,9220,9350,,,,,,,,,,,,,,,,,,,,,,0,FALSE,0.48234418,optimal,squared_epsilon_insensitive,l2,,,,,,,,
adasyn,minmax,0.5,ridge,13136261,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.079268293,0.178707224,0.135137439,0.032402844,0.018156425,0.067723343,0.044101595,0.01635444,0.029545455,0.098223615,0.066121836,0.022385733,0.638594919,0.672548829,0.657961175,0.01473416,0.100391132,0.125346356,0.113657308,0.009556849,0.906520797,0.916470588,0.910530848,0.003473022,9220,9350,,,,,4.111207314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,1,ridge,17278596,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.096106456,0.118997361,0.109841417,0.007869615,0.616113744,0.65129683,0.636615535,0.013388149,0.166275847,0.201159679,0.187292072,0.012057171,0.642086127,0.678877208,0.661915815,0.015189895,0.100600375,0.127708926,0.114472938,0.009987246,0.578236438,0.613074588,0.596462499,0.014614382,9220,9350,,,,,4.721644862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.5,ridge,30071553,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.081395349,0.185074627,0.140691065,0.03379998,0.019553073,0.089337176,0.06506319,0.02377155,0.031531532,0.120505345,0.088293171,0.029983549,0.639715281,0.672241675,0.65796413,0.014223155,0.100209068,0.125996154,0.113721766,0.009588645,0.89978308,0.908449198,0.90446025,0.003196975,9220,9350,,,,,1.154061225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.1,rf,27013346,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.991428571,0.9984375,0.994987881,0.002757079,1,1,1,0,0.995695839,0.999218139,0.997485729,0.001385757,1,1,1,0,1,1,1,0,0.999350087,0.999891587,0.999633082,0.000199773,4026,4838,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,balanced_subsample,gini,105,1,7,244,
smote,standard,0.3,lr,9519807,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.111230811,0.161107615,0.132676874,0.016269522,0.652448657,0.737752161,0.685935744,0.028194408,0.190059825,0.26446281,0.222148813,0.024244928,0.686347663,0.769522825,0.719229804,0.030739395,0.116724345,0.170777737,0.139194575,0.019112513,0.614869246,0.691507799,0.647355656,0.027367245,9220,9350,,,,,,,,,,,,,,,,,balanced,,20000,l1,saga,,,,,,,,,,,,,,
