uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,RidgeClassifier_alpha,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights
random_under_bootstrap,minmax,0.1,lr,18760972,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.1724137931034483,0.07448275862068966,0.06631456762066548,0.0,0.00782472613458529,0.0021413141029977497,0.0029138538796311757,0.0,0.014970059880239521,0.004130375612411541,0.005566762223151923,0.6294560519012711,0.674486471016613,0.6534973561174338,0.015592408215868638,0.09807011875493327,0.12274016514090424,0.11343847976672983,0.009032818777342685,0.9217635617030473,0.9322994652406417,0.9261097381635922,0.003831575738140566,9220.0,9350.0,,0.6533792419492381,20000,elasticnet,saga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,standard,0.7,ridge,25102652,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10451306413301663,0.14213564213564214,0.12370006498104184,0.013975944706554496,0.23184357541899442,0.35446685878962536,0.2884845765176745,0.039306690624705765,0.1519205869659042,0.19672131147540986,0.17263839324744762,0.018528374890769427,0.6391277344608717,0.6768631572836271,0.6593076284979512,0.01580278488028165,0.09996884910613368,0.1264886720378083,0.11359517990878679,0.010028107394895156,0.7823873483535528,0.8171366594360087,0.7989048905456265,0.01207572159968341,9220.0,9350.0,,,,,,3.100078965920531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.7,nb,2914863,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09612724757952974,0.13333333333333333,0.1130871682620592,0.012203588669493561,0.8703170028818443,0.914804469273743,0.8893367958057373,0.01613834719106896,0.1732896992364033,0.23124042879019907,0.20039944777360091,0.01897709657078791,0.7006102545895955,0.7811646256133792,0.7411222375049875,0.02792866812464862,0.11259544532063384,0.20186296962877062,0.1576536534315211,0.029473486351806487,0.41787335206397236,0.5649913344887348,0.478151880482592,0.05191402738224905,9183.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.8,nb,1394057,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10136270300541347,0.1358933088066222,0.11874713753342345,0.0112484961247676,0.8482003129890454,0.8703170028818443,0.8556961789422518,0.007971982125810323,0.18130217028380635,0.2343842950624628,0.20834831826113356,0.01734645721766752,0.6962996168261577,0.7753638927648763,0.7408851384928485,0.028762174547800324,0.11446081823509538,0.1897627814731664,0.15855900733448905,0.0275697254259309,0.47550802139037435,0.5817807625649913,0.5233600776964542,0.035068922827140976,9190.0,9313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,0.7,sgd,8732228,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.14817749603803487,0.07306840798418651,0.0494505189650944,0.0,0.80835734870317,0.40865166815582493,0.25717315369150867,0.0,0.25044642857142857,0.12331318826361486,0.0824508404830301,0.3856741010611777,0.7580590720717619,0.5499834042959739,0.12162866614312086,0.05755979616315956,0.5338502673796791,0.17309292065122944,0.18138720952167667,0.40155608385563,0.9322994652406417,0.6359517088635653,0.17578797052662662,1.0,9254.0,,,,,,,0.7559359892494169,False,0.8174383439722286,constant,modified_huber,l1,,,,,,,,,,,,,,,,,,,,,,
,standard,0.5,xgb,8657007,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9201.0,9336.0,,,,,,,,,,,,,0,0.7,error,1,10,binary:logistic,43,46306,,,,,,,,,,,,,,
random_over,minmax,0.3,nb,4905502,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.11532663316582914,0.1548329355608592,0.13141219272820837,0.013353709485015975,0.7230046948356808,0.8226256983240223,0.7656771528360189,0.0423650034816311,0.19900281812269674,0.25654967869500744,0.22396847825738248,0.019322419822677638,0.69750796549605,0.7794315698659934,0.7389910163119741,0.028257902743124157,0.11132185122521512,0.19888191230182034,0.15546928880728755,0.028890570513323742,0.5364166846768965,0.6741767764298093,0.6100106594985955,0.04599528288064281,9180.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.3,nb,6924944,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.11319358816276202,0.1528718703976436,0.13019255411464772,0.013167383206576821,0.7245696400625978,0.8011527377521613,0.7558811469850039,0.030522878797387736,0.19581911262798637,0.2538517975055026,0.22186816392855274,0.019370077243159936,0.6926133151958702,0.7770027772095996,0.7356718846425329,0.029150212425712467,0.1095315971494157,0.19752635450817002,0.15394638989619067,0.029041941553709243,0.5676464231683597,0.6695190641247833,0.6110754476133938,0.034598973332389496,9181.0,9337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.5,ridge,19035279,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.07894736842105263,0.21548821548821548,0.15687781771113812,0.04479237042183222,0.025139664804469275,0.1267605633802817,0.07640942861267076,0.03366684525202382,0.03813559322033898,0.14848762603116406,0.10128351796625526,0.03799040665710302,0.628079975193286,0.719231144324043,0.6709984054399177,0.03592011554194767,0.09942754954866836,0.1423724882373223,0.12069466918371603,0.016247768993454467,0.8992844752818734,0.9097326203208557,0.9042645432273038,0.003622319302530249,9220.0,9350.0,,,,,,1.6689584250613787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.7,rf,26240091,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.24525377760557923,0.34769539078156314,0.2942191149262905,0.038703999184290336,1.0,1.0,1.0,0.0,0.3939016801493466,0.5159851301115241,0.4532885723120973,0.046089427780935194,0.9918462063469885,0.9938888877983539,0.9926057145663357,0.0007953734504553339,0.8690862751442407,0.9134225166095103,0.8914637454151235,0.01446202690494798,0.7916577540106952,0.8589688041594454,0.822018597225443,0.0258005515746323,6434.0,7410.0,,,,,,,,,,,,,,,,,,,,,False,balanced,gini,73,1,4,167,,,,,,,
