uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed
smote,minmax,0.3,nb,2937974,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.11731543624161074,0.1537777777777778,0.13151450898573008,0.012503785343348684,0.6903633491311216,0.797486033519553,0.7495395878496047,0.042943092501037956,0.200550711335475,0.25509953305480465,0.2235204350644316,0.01853830398808627,0.6982781914948565,0.7810290223128605,0.7395638131141309,0.028906871081795432,0.11266473357704017,0.2059164720430014,0.15823570369177492,0.03094938737671463,0.5519775232331965,0.6716854419410745,0.6179840009416643,0.03999754051017361,9182.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,1.0,rf,15942806,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.5681063122923588,0.6648879402347919,0.6269839444619361,0.03274544098357445,0.9842022116903634,0.9899135446685879,0.9863311093935506,0.0019065904170813,0.7207586933614331,0.7936305732484077,0.7661239076152548,0.024788445473885954,0.9978104785572484,0.9982757811405542,0.9979856188966798,0.00016863529937624725,0.9831545618232406,0.9847981272327841,0.9839356632880738,0.0006073327212211111,0.9425909878682842,0.9653475935828877,0.955722507690934,0.007532113853985529,8007.0,8534.0,True,,entropy,190,4,7,442,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.7,knn,30167847,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.1696588868940754,0.23777564717162034,0.20204593851864144,0.026413835839699154,0.5868544600938967,0.7146974063400576,0.6386520259374444,0.04925732757674088,0.26424327158336247,0.35683453237410073,0.30677562827969734,0.03609649995301656,0.7740182291652509,0.84083286247682,0.8050675194414477,0.02656188823608426,0.2098933617037597,0.33268926935579013,0.27622350579413235,0.04936793529423767,0.7748663101604278,0.8063258232235702,0.7887640858113941,0.012738729609145464,7.0,7.0,,,,,,,,minkowski,6,uniform,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,1.0,sgd,5578747,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.08194395175594182,0.1499334221038615,0.12171622366709349,0.023358299597882326,0.6634078212290503,0.8573487031700289,0.7482079531739739,0.07506854036486231,0.14734492106522087,0.2530905821532929,0.20813518561670558,0.03523736802800014,0.5998443962252764,0.7734866266624274,0.7013381836584147,0.0585110455272277,0.08779764165668064,0.16877128779264652,0.13039727187256558,0.02731964235584936,0.4281283422459893,0.6744362532523851,0.5701394229346349,0.09906179758048064,9220.0,9350.0,,,,,,,,,,,0.41434899356099675,True,0.5409060588220981,invscaling,huber,elasticnet,,,,,,,,,,,,,,
,standard,0.1,lr,22660859,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10939989378651088,0.15846487155679356,0.13076754749775307,0.01601098181764456,0.65086887835703,0.7377521613832853,0.683475514561304,0.029430486069056024,0.18731529893157534,0.26089171974522296,0.21934316820849814,0.024001250539471695,0.6794345947332399,0.7673224567166416,0.7158672338017947,0.032086550204711774,0.1160487528840515,0.17113483403993962,0.13820117774395396,0.01986047581587336,0.6095742381672791,0.6857668977469671,0.64286595718932,0.027581070216027456,9220.0,9350.0,,,,,,,,,,,,,,,,,balanced,0.9987121088469432,20000,elasticnet,saga,,,,,,,,,
random_under,standard,0.3,sgd,16140044,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.007312614259597806,0.08662778137826745,0.05997813041344051,0.02923163136966308,0.005763688760806916,0.6697965571205008,0.3435897157152753,0.26615768637545106,0.0064464141821112,0.15066691715198197,0.09654157886642413,0.05540201738714199,0.4165049890538518,0.5726802099156268,0.4980360117107909,0.05380225590164178,0.05816897034164347,0.08887968018279108,0.07013933499355055,0.011917200019041388,0.3741326973113617,0.86644280762565,0.6437853292475761,0.19170644851935026,9220.0,9350.0,,,,,,,,,,,0.6489567336280695,True,0.8804858323220818,constant,squared_epsilon_insensitive,l2,,,,,,,,,,,,,,
,minmax,0.1,rf,32581762,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0000000000000002,1.0,9.930136612989092e-17,1.0,1.0,1.0,0.0,170.0,182.0,False,,gini,487,1,3,455,,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.8,knn,22443028,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,minkowski,6,distance,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.3,knn,5848962,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,chebyshev,7,distance,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.1,xgb,31355607,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.5893854748603352,0.6504217432052484,0.625371766033195,0.02305395579253962,1.0,1.0,1.0,0.0,0.741652021089631,0.7881885292447474,0.7692634383829162,0.01754504010925967,0.99831385401224,0.9992197222800205,0.998872507739714,0.00036721681503205944,0.9524405033767849,0.9812736667037103,0.9683832071098226,0.010758594884085065,0.9528342245989305,0.9595444685466378,0.9563202062710356,0.0027172541052286753,9202.0,9334.0,,,,,,,,,,,,,,,,,,,,,,,1,0.3,error,0.0,57,binary:logistic,63,19081
random_under,minmax,1.0,nb,18472164,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10083256244218317,0.12566844919786097,0.11542269849495587,0.008788694513826481,0.8379888268156425,0.9005763688760807,0.870637510679979,0.020773509214274507,0.18052335210334547,0.21994240460763137,0.20369353005910104,0.01379926712332174,0.6990508640938944,0.7736477135950284,0.7419147710256333,0.02670818184861085,0.11645363536449119,0.18780507819080536,0.1590888426531839,0.026041697782947806,0.4708021390374332,0.5305459272097054,0.5025524114118214,0.02265893736276418,9190.0,9313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.3,sgd,12284997,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.13333333333333333,0.026666666666666665,0.05333333333333333,0.0,0.002881844380403458,0.0005763688760806916,0.001152737752161383,0.0,0.005641748942172073,0.0011283497884344146,0.002256699576868829,0.5653694429779945,0.7752665992953691,0.66644689297841,0.07267847714446173,0.07143459661921915,0.17637311660849878,0.12219700905511177,0.033993566169636245,0.9220877458396369,0.9319786096256685,0.9261322836835069,0.004184224937868206,9220.0,9350.0,,,,,,,,,,,0.0,True,0.6045325677188742,optimal,hinge,elasticnet,,,,,,,,,,,,,,
random_over,standard,1.0,nb,14675773,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09191234431656944,0.12222662440570523,0.10683130597168733,0.009992212243410424,0.8890489913544669,0.9371508379888268,0.9159406238886166,0.017164341030692594,0.16714449541284404,0.21490769766631837,0.19114977455800167,0.015798949160524225,0.7010464743493902,0.7804357262295092,0.7408256465797416,0.02750443975344736,0.11243562464951641,0.20154083012269958,0.15743788887275273,0.02935145809884053,0.3786096256684492,0.5116984402079723,0.43127813471146376,0.04930050452144659,9184.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.8,xgb,3542345,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10876288659793815,0.13494069609177523,0.12315277323364446,0.009682244246702729,1.0,1.0,1.0,0.0,0.19618781961878196,0.237793387013877,0.21916560757688514,0.01539817721414264,0.8486012967706147,0.9001519229509978,0.8706821656318666,0.018954361124171797,0.23591708042936538,0.3762160321188516,0.3051895251448157,0.04834883101963944,0.44524064171122996,0.5180892547660312,0.4790443336610175,0.024469062788635733,8873.0,9149.0,,,,,,,,,,,,,,,,,,,,,,,1.5,0.7,aucpr,0.5,2,binary:logistic,86,931
random_over,minmax,0.3,ridge,3916764,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.16,0.09339455782312925,0.06184708533893916,0.0,0.014084507042253521,0.007130813149954093,0.005544495636355335,0.0,0.025641025641025637,0.013199968986015092,0.01016758096833161,0.6387868414952823,0.673560073527873,0.6585206971431276,0.015320600052606949,0.1001466006640421,0.12808971936277208,0.1151393410588429,0.010507316991373722,0.9202507023989626,0.9300534759358289,0.9236018962168426,0.003801553101751794,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,3.625087250446019,,,,,,,,
,minmax,0.3,ridge,3130303,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6386668674691153,0.6720547448282526,0.6574531145779866,0.015076963809024468,0.10025772938599647,0.1278930292340086,0.11553276721612811,0.01037487338711513,0.9226280527339529,0.9322994652406417,0.9269330946950161,0.0037650229834366076,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,4.382564271559033,,,,,,,,
random_under,minmax,1.0,xgb,28988812,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.20120788302606485,0.2835515548281506,0.24181636386351255,0.03070513854422013,0.9985590778097982,1.0,0.9997118155619595,0.0005763688760807018,0.33500926170944695,0.4416826003824092,0.3884452835070955,0.03970240294258643,0.931178047382203,0.9453494008156774,0.9385503803301962,0.00566377392966248,0.36483322022323467,0.4637483557941576,0.4128987488775162,0.036579040534679606,0.7312299465240641,0.8102253032928943,0.767892055915327,0.03031077334493265,9213.0,9342.0,,,,,,,,,,,,,,,,,,,,,,,1.5,0.3,aucpr,0.5,12,binary:logistic,1,3557
