uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RidgeClassifier_alpha,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,SVC_degree
,minmax,0.5,rf,31072702,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",1.0,1.0,1.0,0.0,0.9984202211690363,1.0,0.9991076753577266,0.0007303421575057232,0.9992094861660079,1.0,0.9995535050197912,0.00036544470017254243,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9998915401301518,1.0,0.9999352538735359,5.286761554175136e-05,4607.0,5455.0,False,,gini,36,1,8,399,,,,,,,,,,,,,,,,,,,,
,standard,0.5,svm,26818597,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.017214397496087636,0.044481054365733116,0.031361489237087904,0.00877726175986564,0.01585014409221902,0.04225352112676056,0.02960608507342118,0.008548016908194922,0.016504126031507877,0.043338683788121994,0.03045618801537327,0.008661273452076517,0.3806834316777705,0.4469362312678772,0.4260883414953335,0.024974983274898315,0.05620895436931602,0.06297439572893819,0.05912585101841121,0.002530503846855956,0.8558461205964988,0.8718716577540107,0.8627067006851284,0.007075607191110797,9220.0,9350.0,,,,,,,,1.21,sigmoid,25000,False,,,,,,,,,,,,,,,,
smote,standard,0.1,sgd,19148753,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.25,0.05,0.10000000000000002,0.0,0.002881844380403458,0.0005763688760806916,0.001152737752161383,0.0,0.005698005698005697,0.0011396011396011395,0.002279202279202279,0.5600003334625501,0.667975597274585,0.6132240877556474,0.03783256839730191,0.07503833242626883,0.1215106882619158,0.0987730083560602,0.016907237668369674,0.9224119299762265,0.9322994652406417,0.9268464955778309,0.0039095473646525315,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,0.2951408822378445,True,0.4560779157113709,invscaling,squared_hinge,elasticnet,
random_under_bootstrap,standard,1.0,svm,20315004,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.08072400581318537,0.11192087454450807,0.09668353657525601,0.010640291520759371,0.8982785602503912,0.9804469273743017,0.9463156845015515,0.02918454752157063,0.1489880516947086,0.1997831810438284,0.17518081307569236,0.017199029161113988,0.6779026658343704,0.7573777646365495,0.7185451328909437,0.030332858948266275,0.11923053083188503,0.17044600280689293,0.14382445260764792,0.019544457771614683,0.23384482385995245,0.449479618386817,0.3416923143245884,0.09040472475740453,9220.0,9350.0,,,,,,,,0.21,poly,25000,False,,,,,,,,,,,,,,,,3
smote,minmax,0.5,ridge,3861580,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.08609271523178808,0.17472118959107807,0.13617971871784434,0.029330355228268244,0.018156424581005588,0.06772334293948126,0.051888008348762074,0.017592785619495163,0.029988465974625147,0.09761163032191068,0.07463661538673368,0.023554091964065306,0.6411767168473435,0.6751677363041511,0.6603747357448645,0.014671445034206495,0.10042474764979309,0.12744256741797755,0.11461924281221791,0.00995099307530166,0.903470715835141,0.912192513368984,0.9079392247982765,0.002998216038207587,9220.0,9350.0,,,,,,,,,,,,4.777426008964176,,,,,,,,,,,,,,,
random_over,standard,0.1,knn,15778261,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.3870967741935484,0.5342465753424658,0.461927149631087,0.047741955023315324,0.020537124802527645,0.056195965417867436,0.039954615175462074,0.013789678276162658,0.03939393939393939,0.1016949152542373,0.072978180291874,0.02378501727389824,0.8284848059782586,0.8712563531876142,0.848219729860246,0.015033129384681357,0.2420664106323891,0.3203956630761187,0.2804557223961779,0.026736246422667878,0.9220877458396369,0.932192513368984,0.9265649185427458,0.003656770936737907,12.0,13.0,,,,,,,,,,,,,chebyshev,17,uniform,,,,,,,,,,,,
,standard,0.5,ridge,690507,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6365964999843237,0.6688526681997116,0.6546531087400885,0.014732588235799435,0.1000904307068484,0.12684349888977453,0.11458385558538783,0.010029231655845582,0.9226280527339529,0.9322994652406417,0.9269330946950161,0.0037650229834366076,9220.0,9350.0,,,,,,,,,,,,1.4557068399455901,,,,,,,,,,,,,,,
,minmax,0.1,rf,32208187,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.4391424619640387,0.54,0.491759687227643,0.03204821953626805,0.9149855907780979,0.9383886255924171,0.9256475384278471,0.00814556251986147,0.5934579439252337,0.6855164454702828,0.6418147914666271,0.029310136026485998,0.9700425559779201,0.9821327503538058,0.9743939146576768,0.00438980372374761,0.70919238515675,0.7665412405400345,0.7360372755962945,0.02136454260864001,0.9057625649913345,0.941711229946524,0.9239837751889011,0.011688636388489743,8970.0,9272.0,True,balanced_subsample,gini,182,9,9,359,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.7,ridge,11221209,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10320284697508897,0.1400359066427289,0.12255816545472815,0.013238843742469369,0.22905027932960895,0.3371757925072046,0.2927045671182257,0.03754709450721516,0.1500646830530401,0.19788583509513744,0.17250543047909933,0.01899541660750565,0.6398519281293965,0.6743215447063915,0.6590591817780544,0.014763083213650932,0.10043475615700623,0.1263114363712184,0.11386951283104407,0.009637630814018855,0.7891978609625668,0.8017073697860385,0.7959525398148137,0.004461869542794709,9220.0,9350.0,,,,,,,,,,,,1.9923310141346633,,,,,,,,,,,,,,,
smote,minmax,0.8,sgd,20055832,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10227272727272728,0.15730337078651685,0.11944877545348535,0.019484523851981333,0.15639810426540285,0.20391061452513967,0.17317569612424255,0.017918238608169323,0.12367270455965022,0.1593172119487909,0.1400087928742081,0.012276652981293986,0.6098750947151441,0.6870761869465748,0.6517761806229929,0.025422006110307396,0.09003026950815347,0.13105891728499866,0.10875262175323575,0.013136259660640444,0.8125135076723579,0.8719670710571924,0.8439699195456368,0.019771858440880613,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,1.6990636654371618,False,0.19305606230087868,adaptive,squared_loss,elasticnet,
random_over,minmax,0.3,nb,32203500,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.11532663316582914,0.1548329355608592,0.13141219272820837,0.013353709485015975,0.7230046948356808,0.8226256983240223,0.7656771528360189,0.0423650034816311,0.19900281812269674,0.25654967869500744,0.22396847825738248,0.019322419822677638,0.69750796549605,0.7794315698659934,0.7389910163119741,0.028257902743124157,0.11132185122521512,0.19888191230182034,0.15546928880728755,0.028890570513323742,0.5364166846768965,0.6741767764298093,0.6100106594985955,0.04599528288064281,9180.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
