uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RidgeClassifier_alpha,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,SVC_degree,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights
random_under,minmax,0.8,nb,15063395,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10136270300541347,0.1358933088066222,0.11874713753342345,0.0112484961247676,0.8482003129890454,0.8703170028818443,0.8556961789422518,0.007971982125810323,0.18130217028380635,0.2343842950624628,0.20834831826113356,0.01734645721766752,0.6962996168261577,0.7753638927648763,0.7408851384928485,0.028762174547800324,0.11446081823509538,0.1897627814731664,0.15855900733448905,0.0275697254259309,0.47550802139037435,0.5817807625649913,0.5233600776964542,0.035068922827140976,9190.0,9313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.3,xgb,23536634,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.3712609970674487,0.4489003880983182,0.4131675012638154,0.02993725485599884,1.0,1.0,1.0,0.0,0.5414884516680923,0.6196428571428572,0.58410252103783,0.030075951365864873,0.9839115612457842,0.9903473465533111,0.9870045766837533,0.002380522170394761,0.7116826986552036,0.7867672629243349,0.7494885205204521,0.02535253952338964,0.8853475935828877,0.9075921908893709,0.8959914740228386,0.008853053563484472,9218.0,9344.0,,,,,,,,,,,,,,,,,1.5,0.3,aucpr,0.0,44,binary:logistic,5,41830,,,,,,,,,,,
smote,standard,0.7,sgd,15566996,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.043478260869565216,0.17162629757785466,0.11285519974308796,0.04732084642145988,0.00631911532385466,0.6447574334898278,0.3356417100332113,0.21768746241220058,0.01103448275862069,0.23541963015647227,0.15643196107994434,0.08402139119734285,0.5794362860915011,0.7179861450049043,0.6501652126791726,0.05871494124581945,0.08705451779305082,0.1403198992858225,0.11213952889216014,0.023025123779590168,0.6063529921942759,0.9233155080213904,0.7775613551851333,0.10267943374037408,9220.0,9350.0,,,,,,0.0,True,0.32385564060169003,optimal,modified_huber,l2,,,,,,,,,,,,,,,,,,,,,,,,
random_over,minmax,0.7,svm,23769334,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.07793996144312862,0.09225092250922509,0.08549133763091481,0.0050077096686814366,0.4371508379888268,0.46829971181556196,0.45540793677034286,0.012944698665959218,0.13255269320843094,0.15413801280531184,0.1439061106002377,0.007435409315240068,0.5190916937592682,0.5456151754152918,0.5336644892370208,0.01171540852515102,0.07541694411024803,0.09084396363755534,0.08378958059478656,0.00539425102841615,0.5976874864923276,0.6131236442516269,0.6048081988324256,0.006232095595271133,9220.0,9350.0,2.03,sigmoid,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.5,lr,10143469,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.11003757380568975,0.16086547507055504,0.13174964403396133,0.016627391500397767,0.6477093206951027,0.739193083573487,0.6830821782522727,0.030634637814405303,0.1881165404909383,0.2642286891578676,0.22069743660680405,0.024881636215352537,0.6849356344492122,0.7691182933324693,0.7184662507232412,0.03126164890303086,0.11592883713852564,0.17026526903648956,0.13871443963476798,0.019225645448980234,0.6133563864274908,0.6905329289428076,0.6457794578155979,0.027539450369995867,9220.0,9350.0,,,,,,,,,,,,balanced,,20000,l1,saga,,,,,,,,,,,,,,,,,,,
,minmax,0.3,lr,28637783,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.11001335113484646,0.15991271820448877,0.13213233895723792,0.01635192118829706,0.65086887835703,0.739193083573487,0.6868398444575929,0.029221973071364184,0.18821379625399728,0.2629420809841107,0.22143233038824733,0.02446534401489394,0.6827223938724152,0.7708645128103349,0.7191202059113981,0.03204499979017889,0.11713753611995475,0.17345643248824155,0.1398509881638128,0.02035781602728901,0.6124918953965852,0.688474870017331,0.6453947278048803,0.027379249543820126,9220.0,9350.0,,,,,,,,,,,,balanced,,20000,none,saga,,,,,,,,,,,,,,,,,,,
adasyn,minmax,1.0,nb,16104214,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09326683291770574,0.12129432280565781,0.10799880549342104,0.009235665987142093,0.8794992175273866,0.9178674351585014,0.8998095378303672,0.014913649423950454,0.16877256317689532,0.21383432963279245,0.19273787815435064,0.01492201077380047,0.6907174718609259,0.7726111542026391,0.7334464550028557,0.028070356320519203,0.10890199001065125,0.19420218620510007,0.1523022784604143,0.027950749773163152,0.40512210935811543,0.5014081455805892,0.44805090774456335,0.03708379883895149,9181.0,9337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.7,svm,26859360,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.13559322033898305,0.2980769230769231,0.20088064765147898,0.05663582891261878,0.01263823064770932,0.5706051873198847,0.1682668850304627,0.21032556460324184,0.023121387283236993,0.24429364589759406,0.11742085963127794,0.08581556609338917,0.6082032512236173,0.7379470221955423,0.6763869613296072,0.043682876770515106,0.0925585640145781,0.17287719896874246,0.1378560865348965,0.02731430719246087,0.7342733188720173,0.9277005347593583,0.8776769042872508,0.07353033454216848,9220.0,9350.0,1.53,poly,25000,False,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
random_under,minmax,0.3,svm,31431023,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6058207082108117,0.7183500040166253,0.6644988670336983,0.047282721145733855,0.09231533273489934,0.14162081053466746,0.11535181870788062,0.01956741932868479,0.9226280527339529,0.9322994652406417,0.9270414511639368,0.0037667150346901357,9220.0,9350.0,0.13,linear,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.1,svm,11073963,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5318196670775143,0.6572971233609215,0.5908916539600655,0.04101435794377854,0.06919656276495238,0.13858793044539086,0.11376199928478037,0.02395571853105679,0.9226280527339529,0.9322994652406417,0.9270414511639368,0.0037667150346901357,9220.0,9350.0,1.05,poly,25000,False,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
