metric,measure,k_fold_i,"smcdc__fft_coefficient__attr_""imag""__coeff_73","smcac__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","smcdc__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","smcdc__fft_coefficient__attr_""abs""__coeff_45","vib_spindle__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","smcac__matrix_profile__feature_""75""__threshold_0.98","smcdc__fft_coefficient__attr_""angle""__coeff_81","smcdc__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)","smcac__fft_coefficient__attr_""abs""__coeff_51","vib_table__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min"""
f1,std,3,0.0018007292896273159,0.032111165682419174,0.011674039545056874,0.02250321362528789,0.016686024835185834,0.019725367495355833,0.0045636591997608765,0.022349932587089314,0.021430125806080745,0.01913709653898524
average_precision,mean,3,-0.0001052836956990951,0.3664771769007886,0.0074434419664225595,0.040944395531118505,0.15094971671338736,0.05551791958404293,-0.00010861744781225739,0.03433909847282656,0.050272712762954294,0.06009781181212725
average_precision,std,3,0.00025661614820782534,0.028944087963203222,0.0024733832144277165,0.008274369049167656,0.015250506555652146,0.008900101623401498,0.00046294120418396956,0.008183578838547076,0.011341787764507269,0.01153764965736754
balanced_accuracy,mean,3,-0.00035769528228924243,0.40502200176014086,0.03654325679387684,0.2448814571832413,0.13971544390217885,0.13023735232151906,0.001643664826519442,0.1929714377150172,0.11593400805397765,0.050528108915379885
balanced_accuracy,std,3,0.00016205582573707494,0.011476599782681828,0.009342721942566657,0.012297068767737791,0.011774636851013928,0.013839332203601808,0.002508832401804148,0.014047057534440436,0.013839980008793237,0.013635657634466678
accuracy,mean,4,-0.0018616594447119384,-0.005103514684641323,-0.012309420638741774,0.012903225806451606,0.043187289359653346,-0.0011394639704702448,-0.003562831006259052,-0.0102230781575991,0.012534103675172525,0.04347616754935002
accuracy,std,4,0.000367373556163051,0.0014529250903875743,0.0014849249255850332,0.0020592540436328768,0.0031526373100027277,0.002147721263922691,0.0010518998304075609,0.0015209137876037446,0.002747531936261412,0.0024742735016908407
f1,mean,4,-0.01287009673425695,-0.0012908772838534828,-0.09336740437518283,0.2661820498260257,0.3207937446986659,0.017398040107683806,-0.025039318786628684,-0.06995570996738806,0.1999857901261267,0.2672614844689591
f1,std,4,0.002576063031736349,0.01622168773259597,0.012598191967323605,0.033707580523616484,0.028872007140871823,0.02083190239592307,0.007635377985555154,0.013533965209154234,0.034910686408549996,0.016278846963849795
average_precision,mean,4,-0.00012497094423023306,0.06565724765691112,-0.00035361318770809426,0.11060873325030189,0.2655306022061042,0.06247274138614687,-0.0002370926054597396,0.07475078667589513,0.1716263732242284,0.32238756034737653
average_precision,std,4,4.727599942098853e-05,0.010840212037552097,0.0006890743992000317,0.024254054319205923,0.03474426086653545,0.011109099520850988,0.00013817247516212223,0.017609811394265987,0.021371108983135382,0.02536628913412319
balanced_accuracy,mean,4,-0.0009808895653645104,0.10576926758756686,-0.006485709453746032,0.2699846676175614,0.18239241007182766,0.07244901703633495,-0.0018772196854389097,0.02466646882947384,0.20908926286500157,0.10845379065634078
balanced_accuracy,std,4,0.0001935654175927434,0.010941282497649755,0.0007823919508980494,0.01747780877167513,0.02543598073137153,0.013662724091691671,0.000554235400242648,0.00670668873461599,0.022594900697436318,0.01436690650383669
