metric,measure,k_fold_i,"vib_table__fft_coefficient__attr_""real""__coeff_98","smcac__fft_coefficient__attr_""angle""__coeff_66","ae_spindle__fft_coefficient__attr_""real""__coeff_39","vib_spindle__fft_coefficient__attr_""abs""__coeff_32","vib_table__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)","smcdc__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","vib_table__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""","vib_table__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)","ae_table__fft_coefficient__attr_""angle""__coeff_66","ae_spindle__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4"
balanced_accuracy,std,4,0.005714753425294824,0.01283118499169983,0.005744615534950086,0.006911001844713983,0.008241244455177453,0.013103438272536167,0.0106515479437904,0.008761999452970374,0.011774385981694798,0.011479672312081872
accuracy,mean,5,0.00795360397680202,0.026125379729356548,0.003120684893675807,0.006655619994476692,0.012537972935653155,0.027754763877381967,0.015879591273128997,0.012896989781828254,0.02999171499585752,0.04396575531621102
accuracy,std,5,0.002999430871557119,0.007637597573742524,0.004329834021704938,0.0042325660017692255,0.006105972484525247,0.007724035499004141,0.005227145327464151,0.006790615464534046,0.007034614177701395,0.008156791234636866
f1,mean,5,0.04556601917798952,0.13508950484233775,0.04473685643270824,0.030024101837771235,0.07632656084646314,0.1418792672325938,0.11043301331413448,0.09722444844912752,0.17356363880593115,0.21098926889113215
f1,std,5,0.010217187174793823,0.019686450909031598,0.01452371585755279,0.012186349874341997,0.015752070976317673,0.025363525462722934,0.018127662142068145,0.02303338311174655,0.019559277617651985,0.020829670513430723
average_precision,mean,5,0.5919271815703279,0.7269145692865724,0.5880517903160231,0.5226262001563705,0.5954586276478584,0.4620482761509353,0.7066385668614947,0.6462213592952094,0.773927568995217,0.8132869638288444
average_precision,std,5,0.023496800519784616,0.02993961384196774,0.029332749028733576,0.03464799218041165,0.03786087297403892,0.05484565374251802,0.03051480492074593,0.04291705464020015,0.024397440483051796,0.01527849450980375
balanced_accuracy,mean,5,0.0625672818146866,0.17670126874279116,0.07410130718954244,0.037524029219530866,0.10556997308727406,0.1850490196078431,0.15479623221837746,0.1398068050749711,0.22995001922337557,0.2712946943483275
balanced_accuracy,std,5,0.014928121642162402,0.026836099170911887,0.018954950829926064,0.01535842449401599,0.023632666432595862,0.03260814671265982,0.02586580018236709,0.028068214021537956,0.02721190703070325,0.025691921510957488
accuracy,mean,6,0.017415115005476444,0.035250091274187656,0.02320189850310332,0.009602044541803582,0.03267615918218328,0.030485578678349754,0.022836801752464393,0.029572836801752458,0.04070828769623949,0.03287696239503467
accuracy,std,6,0.003530506344202889,0.006259280067409808,0.004181473662154127,0.003740415764838462,0.00465194010280165,0.003690909662241746,0.004263550081960984,0.00552732847543646,0.005405405045146917,0.005192498608689784
f1,mean,6,0.0737908822274588,0.17515826807980012,0.11428872513451652,0.06059695432531321,0.13121052834119584,0.15653724060561722,0.1358265339563704,0.1179709780754005,0.18827185035406274,0.25685832769572703
f1,std,6,0.014391285444587192,0.02177353808846839,0.01963492577287309,0.01229385962463177,0.015214016105159872,0.01406170222017671,0.01367889207182833,0.017419335249997194,0.016260481566173098,0.02687485985776412
average_precision,mean,6,0.43966842874194967,0.6585537528626341,0.5568417516816323,0.4225467917816106,0.5143685960811156,0.5036733399325155,0.5596421379443249,0.5034196430952845,0.6413537220622132,0.7457450193014813
average_precision,std,6,0.027154049997498667,0.029335983314707183,0.02341709876495661,0.02917942434581366,0.03159862215606852,0.03186034893409494,0.03057563789111655,0.033487062433698915,0.02721988033206287,0.02420329116552533
balanced_accuracy,mean,6,0.06457272926722239,0.17097539125347375,0.11146464092438198,0.06883538101506502,0.11339531227146399,0.15501992833113934,0.1437302544975866,0.1008298595875383,0.17844650431475786,0.2707825069474915
balanced_accuracy,std,6,0.015004793825058652,0.020761326254211922,0.021354200320820454,0.010258702150463058,0.015997806137234956,0.015774304235674157,0.012925279329517354,0.016972324672019846,0.01604487992751003,0.023455315104960423
