metric,measure,k_fold_i,vib_table__autocorrelation__lag_3,"ae_table__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2","vib_table__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","ae_spindle__fft_coefficient__attr_""abs""__coeff_61","smcdc__fft_coefficient__attr_""imag""__coeff_46",vib_table__partial_autocorrelation__lag_4,"ae_spindle__fft_coefficient__attr_""imag""__coeff_4","ae_spindle__fft_coefficient__attr_""imag""__coeff_1","ae_table__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",vib_spindle__number_peaks__n_1
average_precision,mean,3,0.20709423466352497,0.5533062045705531,0.036830964059067016,0.023551847659797124,0.05997029963045064,0.21446012279079602,1.861492208361145e-05,0.004627561434637092,0.32413284948468757,0.08099958278345382
average_precision,std,3,0.013330087480668855,0.011817387958549712,0.003494995027044623,0.0031511956703670885,0.005325768035418917,0.007590343032149794,8.716135417428628e-05,0.0014435633844600438,0.011435223708579823,0.007837070170632301
balanced_accuracy,mean,3,0.1831639036417948,0.2811202258910069,0.09532858953069741,0.03747787064103086,0.060887644612787645,0.18559893367367938,0.00011013215859026296,0.020001452417875463,0.15886866940224423,0.09401317926267488
balanced_accuracy,std,3,0.008524747051776234,0.009425344872578408,0.006339521993008497,0.005375164520052954,0.007002357728281363,0.008519615040465589,0.001487124016191577,0.0043538321961984535,0.008271549817623373,0.006523104408271974
accuracy,mean,4,0.019276057566506726,0.08794882977176913,0.010931821485681033,0.01892716964675095,0.004317488006977724,0.015961622328826818,0.0023404564616949916,0.0034598052042447702,0.01632504724523909,0.014973106556185445
accuracy,std,4,0.0020683444002712642,0.002990525569559253,0.0016237246117683723,0.002306577522349035,0.001144736567676104,0.0014534088966361449,0.0008900869030290202,0.0015559340788207031,0.002078383852823212,0.0016252856356300197
f1,mean,4,0.14766384515031264,0.5791275410844797,0.09705966703183141,0.15042825347817698,0.03277899027215379,0.13619170236145853,0.018178588111760284,0.029611993565074084,0.09923569051512401,0.1182059118508145
f1,std,4,0.01611583703757372,0.01298496419390286,0.015199706573812593,0.018482003007633505,0.009057660179603346,0.013548027281749274,0.006700981472686502,0.012832693245186355,0.01177897352589868,0.0137831365209645
average_precision,mean,4,0.09773585114238789,0.7503632528727819,0.06157743961674889,0.13460951946188868,0.017975136466711596,0.08584023271489873,0.002631020365161141,0.018360171367029575,0.01480146847605353,0.11904257784441538
average_precision,std,4,0.01129923069932511,0.018425833696418047,0.011913678719077137,0.02353417371421755,0.006580378426511245,0.009557863490816198,0.0011803113377495482,0.00671443488481295,0.004725868763963176,0.015122394691708814
balanced_accuracy,mean,4,0.08676167606742652,0.2948089389183359,0.09414031114592136,0.09792363628268266,0.02069346034984193,0.1076830719537593,0.014812976488993405,0.03690567263498553,-0.00591306776440007,0.0785297373656421
balanced_accuracy,std,4,0.011555776770184704,0.007733718576754096,0.011582906554180464,0.01209529846537431,0.007702484918100654,0.01174816236525523,0.005040208190000063,0.010719840257406377,0.004833717627425239,0.010973879183578474
accuracy,mean,5,0.07094725214029275,0.08668876001104668,0.018199392433029583,0.040127036730185056,0.010494338580502638,0.027147196906931813,0.00370063518365095,0.004805302402651224,0.107870753935377,0.10690417011875172
accuracy,std,5,0.0060144159373884554,0.005472633897655669,0.003929825490813389,0.0058571457110839845,0.002010524686351961,0.004356175727361234,0.00155342293404314,0.002865222280992657,0.005293765403813407,0.006789941547221415
f1,mean,5,0.3687088574107135,0.6991241907999366,0.1328826645521658,0.20125984576597303,0.07009248751531029,0.14894168270383443,0.02441935699732378,0.031822234918322534,0.49195305913509174,0.3730275313094909
f1,std,5,0.028635000321959612,0.02282786694993498,0.030438713895485463,0.02133422944557181,0.012592869415530563,0.019654134452292395,0.009992526551285883,0.018866849886641685,0.02106467692551067,0.0123005548097337
average_precision,mean,5,0.547777882538499,0.8831960208029994,0.2994664502531962,0.06774110039053399,0.018312433003791,0.031042624753530267,0.0021789849852507388,0.04055298180642742,0.8140171560932189,0.43329659053029695
average_precision,std,5,0.057295118366205926,0.01777764380004335,0.03764122101540187,0.018899129932776038,0.0145306220653075,0.02205751001369864,0.004579885628905052,0.024701319204554983,0.010427727113513077,0.0474368788582597
balanced_accuracy,mean,5,0.1591791618608228,0.4807141484044598,0.06010668973471743,0.0209486735870819,0.015474817377931585,0.014172433679354102,0.0019319492502883598,0.004070549788542891,0.25405132641291817,0.055810265282583635
balanced_accuracy,std,5,0.027722128897829195,0.017320838156245147,0.02391588082356198,0.0030577745991688336,0.008514756568510674,0.002274179975313577,0.0008109781493901496,0.005068971691329331,0.026263486697891268,0.003544748895975877
accuracy,mean,6,0.052154070828769654,0.09410368747718148,-0.02022635998539611,0.003888280394304511,-0.00023731288791528266,0.02026286966046004,-0.0006754289886819808,0.005093099671412941,0.16226725082146767,0.03946695874406721
accuracy,std,6,0.0028967729646684533,0.004965349365262546,0.0021580893327684068,0.002060533738612732,0.002091035662876677,0.005691295096064214,0.0017008376080894258,0.0019292349346997284,0.0059323728310174155,0.004544538045551
f1,mean,6,0.3466719762089525,0.6457052094213415,-0.10625492778577354,0.01846443010856364,0.013002765595711825,0.10298983597354067,-0.0025362780662039784,0.023856080691799657,0.5316083076320987,0.22280462171675483
f1,std,6,0.0179133555256077,0.02438819468096459,0.015319346470525137,0.009785183840096297,0.014217667614839998,0.025191343373170035,0.008662053951709879,0.008886933733603195,0.014804602872810716,0.022530277822564726
average_precision,mean,6,0.4718152323560185,0.8141268508155918,0.023914937914063628,0.021345815662840006,0.05522210149606854,0.15244565096448995,0.012828703471632204,0.005441072141836501,0.8428807430600036,0.304333844084547
average_precision,std,6,0.025625718963379507,0.02859402454069419,0.009905049341014528,0.005118490331176687,0.014772920461625844,0.020276551720563092,0.004074555081268414,0.003767911069476254,0.007194736516183147,0.02918388965573954
balanced_accuracy,mean,6,0.24899828140997513,0.4571696284920286,0.01301795378089804,0.002654124616059657,0.0333662425040222,0.044690653795524324,0.0017070718151235842,0.0029985739359367956,0.32943176831943827,0.13854120959485156
balanced_accuracy,std,6,0.014132512780445751,0.01662572349578418,0.010510437730686974,0.002151020956241358,0.01158013871218723,0.010672867094671868,0.0032914325090389472,0.0016264072813597387,0.01717389292028548,0.016410882439215957
