metric,measure,k_fold_i,"smcdc__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)","vib_spindle__fft_coefficient__attr_""angle""__coeff_64","smcac__fft_coefficient__attr_""real""__coeff_32",ae_table__autocorrelation__lag_1,"vib_spindle__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","ae_spindle__fft_coefficient__attr_""abs""__coeff_28","smcdc__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""","ae_spindle__fft_coefficient__attr_""abs""__coeff_53","ae_table__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4","ae_table__fft_coefficient__attr_""abs""__coeff_50"
f1,std,3,0.014926364477239868,0.0043333694185375485,0.004463612897418247,0.005439020429324581,0.012661137500438091,0.0020212472554130253,0.005818462992477495,0.00412794803034021,0.0037893327565187316,0.004396709907993284
average_precision,mean,3,0.2308296780310791,0.012366322163121217,0.01144783016905216,-0.04814258554125113,0.04681378789914386,0.0017579186249571258,0.06959314305156766,-0.00597186014852138,0.045909429181425605,0.0031463642991651684
average_precision,std,3,0.016002657194540484,0.001961240340052829,0.007831051179552611,0.005692279498075081,0.010886865529502769,0.0005292966420215474,0.004955727991843915,0.0018064108834943014,0.01174071312274981,0.002146196935099738
balanced_accuracy,mean,3,0.18469969259061025,0.0017721213535161872,0.02106600610244231,-0.03648027685143254,0.04300758002021944,0.0009647714328845369,-0.007377939716652737,0.019305607019181048,-0.007806688898952918,-0.00045934144857529
balanced_accuracy,std,3,0.010263993680515454,0.0036574078740503144,0.003581613191816625,0.004182888132571939,0.010001873633633826,0.0016690437464200252,0.005415143144027864,0.0033883085446541087,0.003186141812318824,0.0038823188377040446
accuracy,mean,4,0.022939380723942464,-0.0002180549498473387,-0.00033435092309926545,-0.0059020206425352325,-0.004332025003634229,0.016266899258613174,0.008489606047390623,-0.0005814798662596118,-0.003954063090565481,-0.0007559238261374871
accuracy,std,4,0.003762695963388217,0.0008021735520466034,0.0009796037557105197,0.0017830205676943494,0.0026999707553409208,0.000989050076649158,0.0011633231006682786,0.0005887034956045032,0.0006462017959265286,0.0011200093202069043
f1,mean,4,0.3311940513426123,0.0010085278034403327,0.0011338246149104503,-0.029720255384665637,0.025430053812216493,0.1321333513708579,0.027703228118608807,0.008777011732266164,-0.015324186294320256,-0.005867410312288993
f1,std,4,0.035301465384954614,0.004492228876148509,0.005417122374828586,0.009628077423474187,0.01862278281542555,0.004487513681465938,0.00591371865116508,0.00294458790898656,0.004060265708205472,0.006065728130164505
average_precision,mean,4,0.4521733043789261,0.022506600298102853,0.024946355663222987,0.006635139436586431,0.08815605140408406,0.2329352996593871,0.015141843099866858,0.01705188756028808,-0.010439218329975885,0.006314501291469199
average_precision,std,4,0.03380119800664909,0.004441437228556723,0.0111794170294949,0.01161014682693199,0.026892361386734773,0.016517286331528123,0.0072644362676103835,0.0038882137231729826,0.002973940385392325,0.005746075259261648
balanced_accuracy,mean,4,0.2609683288505169,0.003096988721112237,0.0040389873489453665,-0.013407669158019693,0.06476749057394232,0.10895146617446769,-0.002379485093369971,0.018268489341420713,-0.0010146040650948632,-0.005426839017301765
balanced_accuracy,std,4,0.017982902104199377,0.003373033947389116,0.003951126877137895,0.007127128945641046,0.012833307508439695,0.002450033316931419,0.004642888253517932,0.0018928777765650964,0.003133236186005403,0.004314992372941729
accuracy,mean,5,-0.088124827395747,0.0015741507870754123,-0.0011875172604252674,-0.025131179232256252,-0.015382491024578821,-0.007428887047776807,0.0049433858050262755,-0.009776304888152421,0.014471140568903636,0.003811101905550988
accuracy,std,5,0.006657224089664581,0.0022674286965044133,0.00394841273779917,0.00640087693159597,0.007353560256743477,0.0016909438845447969,0.005259437104519266,0.0028169014084507256,0.003977569044438303,0.0035059046832495774
f1,mean,5,-0.02479948199906977,0.0006526702212365371,-0.0005136766475780005,-0.011202240320863376,0.015761522763623085,-0.003168563858906323,0.0020242268615547907,-0.004196248712654777,0.005862032879026781,0.0015725538393067857
f1,std,5,0.009573288224000586,0.0009417154614273701,0.0016650298103993782,0.0030195544399332706,0.009490299540394988,0.0007331319992768619,0.0021535950857802105,0.0012314542100197645,0.0015566115991194848,0.0014474162464605824
average_precision,mean,5,0.1708311125360008,0.0032417865966673657,-8.899541306450764e-06,0.06679179554694374,0.17760432956250707,0.005733465231406869,0.027174003389840266,0.009987747092466264,0.16375735818050577,0.44385739334400326
average_precision,std,5,0.04578192413384348,0.003569359172501808,0.015230316868348618,0.02056279451602439,0.04356300310795893,0.009430496811603697,0.010802879577297862,0.0051685569740411086,0.019524784049988763,0.02795016649106379
balanced_accuracy,mean,5,0.008972510572856566,0.0008217993079584558,-0.0006199538638985147,-0.01311995386389853,0.05850634371395615,-0.003878316032295289,0.002580738177623972,-0.005103806228373735,0.007554786620530537,0.0019896193771626177
balanced_accuracy,std,5,0.019965329463849914,0.001183731157733924,0.002061303708703986,0.0033416342804655406,0.02475341985797278,0.0008827721750197021,0.0027457355472122564,0.00147058823529412,0.00207652501584646,0.0018302884743435237
accuracy,mean,6,-0.0218145308506754,0.0030485578678350112,3.650967506392637e-05,-0.04395764877692585,-0.0013873676524278585,0.00023731288791533077,0.01677619569185838,-0.0016794450529389955,-0.013417305585980248,-0.0019350127783862433
accuracy,std,6,0.006547483727346034,0.002555742449489203,0.001943604476700434,0.0037675791191377236,0.004359964545637645,0.002057296703013117,0.0027106436078103155,0.0019436044767004246,0.003433899433158802,0.0020033800537888114
f1,mean,6,0.075990227251212,0.00563286916309881,4.0153174237550494e-05,-0.09682405511002895,0.030464427968292896,0.0004151471587344006,0.031078116171169567,-0.0032189745346599833,-0.024810788452859243,-0.0037101477260152284
f1,std,6,0.026885674295553715,0.004737017059114747,0.003665201087627493,0.011446567640630264,0.01464592100506315,0.0038746248524730294,0.004925154991239998,0.0037057121689126737,0.007334895443320093,0.003832469113285778
average_precision,mean,6,0.3782308048213341,0.004945364004870175,0.045805036114800066,0.08129427374495211,0.32889741990086646,0.09806654843857956,0.04114725513466431,-0.0063229587202741815,0.2869696707123583,0.007105841060922084
average_precision,std,6,0.04132500937058518,0.002890442417865021,0.01620166943525688,0.01218287610287402,0.028255125906016372,0.03107991774709251,0.012660603084218899,0.003456319947566173,0.030958303229199454,0.002285963349514388
balanced_accuracy,mean,6,0.17093096387304374,0.001618217054263571,1.9379844961253667e-05,-0.015513565891472863,0.05798559309638732,0.0001259689922480748,0.011708351616205955,-0.0008914728682170507,-0.00328598069328652,-0.0010271317829457264
balanced_accuracy,std,6,0.02024247306492099,0.0013566237537114187,0.0010316923762950629,0.006367079882832905,0.015836292398645826,0.0010920417964249895,0.003991441444280027,0.0010316923762950516,0.002452616259111003,0.0010634220866913822
