metric,measure,k_fold_i,"smcac__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""","ae_table__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","ae_spindle__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",ae_spindle__number_peaks__n_3,"smcac__fft_coefficient__attr_""abs""__coeff_20",vib_spindle__cid_ce__normalize_False,"smcdc__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",smcdc__lempel_ziv_complexity__bins_10,vib_spindle__autocorrelation__lag_8,"ae_spindle__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2"
balanced_accuracy,mean,3,0.0845822983426425,-0.011417033773862006,-0.04159913495363702,0.03725063014350342,-0.000569702334390106,0.025513950073421398,0.004381555894071824,0.08604803957895892,0.014427312775330358,0.05433409499499084
balanced_accuracy,std,3,0.00453960765046469,0.003055822873958402,0.0056618110843467545,0.005352961334852204,0.0049441739953031095,0.0056735582693104485,0.0031810369005220614,0.004847469727961889,0.0031195472588350813,0.0040784375421712305
accuracy,mean,4,0.0007123128361680516,0.016673935164994918,-0.052972815816252364,-0.009158307893589176,-0.03410379415612733,0.013344962930658528,0.0008431458060764693,-0.008198866114260786,-0.02827445849687454,0.014144497746765516
accuracy,std,4,0.00486737637605697,0.003164293810903312,0.005059292549002451,0.0034578500976654345,0.0031395874463711238,0.005557165085043258,0.001758676218617438,0.0020312299432718272,0.00355740832857201,0.0043533632996193726
f1,mean,4,0.006857671411192755,0.0035137170254984557,-0.012203535798585522,-0.001998632627577006,-0.0076782826929167654,0.002938696858839255,0.00018052479958234057,-0.0017851957484659334,-0.006318440804360751,0.013665576458337858
f1,std,4,0.0025988910990787863,0.0006517106768958745,0.0012929645081706344,0.0007624053932444191,0.0007382679445353404,0.0011827916169197825,0.00037841910823210135,0.00044621645369576616,0.0008250632312557809,0.0022462417909590326
average_precision,mean,4,0.5938855205475448,0.05224152001061076,0.025323529728173765,0.0309687487513404,0.08829872374044251,0.07796239310877492,-0.0011492704912767142,-0.039570712285138594,0.10043352140092633,0.5678954654780333
average_precision,std,4,0.02260145101682148,0.0069281478906434565,0.012606217485271201,0.006901257102609038,0.012812675360498214,0.022696788766726133,0.002733923988434464,0.002779919732480775,0.01895191111298464,0.01889379161796682
balanced_accuracy,mean,4,0.02227625888214952,0.008937198067632908,-0.028292896911410185,-0.004908835904628269,-0.018279569892473067,0.007554608396123171,0.0004519245753467701,-0.0043945769050957855,-0.01515505688016201,0.04273308116225373
balanced_accuracy,std,4,0.007990638465648492,0.0016960555653112118,0.0028361525279136787,0.0018534011860558183,0.0016828130001236502,0.003101736255797413,0.0009426471643968471,0.0010887354511272221,0.0019067642116446088,0.006973999401494606
accuracy,mean,5,0.06962165147749245,0.0007456503728252128,0.059734879867439986,-0.000552333609500096,0.008478320905827156,-0.01717757525545425,-0.002568351284175589,0.005882352941176528,-0.019828776581054915,-0.02209334438000548
accuracy,std,5,0.007910576255152972,0.0017026305044792692,0.0055220241468664855,0.00454963333006597,0.004987927246943439,0.004537547505891374,0.0034846298003004374,0.0017555609030999915,0.0033751154084401486,0.004579708354536591
f1,mean,5,0.06934687972192913,0.00036311942453532884,0.02568532361360988,-0.0002969337462717936,0.004063679796585962,-0.008852962253996326,-0.0012873868483209696,0.002852732771696086,-0.010271398764722717,-0.011522386371024136
f1,std,5,0.010240692230075212,0.00083379350776972,0.0020748160900598534,0.0022343782907967326,0.002354903998756607,0.0024344973251872186,0.001736292987506837,0.0008396705754299078,0.0018338879334055802,0.002520289644032104
average_precision,mean,5,0.8960970544765587,0.002133304968578657,0.009852153642911927,0.009614899139922858,0.02667340283551436,0.10620844239766478,0.022099932813172095,-5.301497304747531e-07,0.015565273097065154,0.5562573233503818
average_precision,std,5,0.01489645304896403,0.0015569569186739908,0.006879252968050959,0.006219506057620954,0.019027057772080715,0.030482725893678883,0.008950171126707339,0.0011928007336904295,0.007225264484789041,0.03640056511749696
balanced_accuracy,mean,5,0.16286043829296423,0.0003892733564013577,0.031185121107266404,-0.0002883506343714148,0.004426182237600888,-0.008967704728950447,-0.001340830449827013,0.0030709342560553575,-0.010351787773933144,-0.011534025374855865
balanced_accuracy,std,5,0.029151678702790784,0.0008888732780737311,0.002882821429614123,0.002375176223784455,0.002603991430389601,0.0023688667126344582,0.0018191817339803795,0.0009165060597066276,0.0017620087794062431,0.002390877155677185
accuracy,mean,6,0.07117561153705734,0.006005841548010257,0.05649872216137279,0.02411464037970065,0.025629791894852174,-0.0002008032128513711,0.008926615553121601,0.014859437751004038,-0.013581599123767767,0.028514056224899626
accuracy,std,6,0.008746886885957036,0.0032598560469458597,0.004100842699285099,0.0024016734720267077,0.003995433083696083,0.004933840545433936,0.0021958224976565016,0.004616128310945186,0.0036420116516040157,0.00488179546864796
f1,mean,6,0.16342295386722888,0.008001777217888202,0.06791568735951022,0.03044053953182056,0.0364306898862503,0.00866420292216646,0.01182595954069541,0.0317100885456512,-0.01955658132697325,0.03770559885356118
f1,std,6,0.01578415250342421,0.004280380370469604,0.005227645188008939,0.0028168200843361295,0.006030645909942869,0.006958797812296507,0.0028222372352846984,0.007387072186701995,0.0054728739658236976,0.006099355179438568
average_precision,mean,6,0.6174748520472181,0.1833791148593394,0.25265586036614673,0.02005206791053971,0.35577360760787846,0.037901097336747826,0.01646305947437244,0.5476778297575712,0.030976757683682608,0.3251105927336212
average_precision,std,6,0.024748765090610112,0.01677259151958127,0.02506644887181905,0.014385645661872585,0.01389878921887915,0.02600366084481018,0.009305209235658213,0.017757610757347476,0.020513145253534093,0.03938609221892084
balanced_accuracy,mean,6,0.20111086733947645,0.0031879844961240893,0.036777278045926634,0.012800387596899287,0.022162132514260705,0.01730345911949691,0.004738372093023317,0.03223215591633763,-0.007209302325581331,0.019709485154307496
balanced_accuracy,std,6,0.02229119400572961,0.0017303770760822993,0.006129873230215804,0.0012748417906746363,0.006293755708706885,0.006652440909921539,0.0011655732211397513,0.006423667193385947,0.0019332306034386439,0.004970948052090138
