id,f1_threshold_tuned,threshold,confusion_matrix,tpr (sensitivity),tnr (specificity),fpr (fall-out),fnr (miss rate)
9569263_rf_2022-09-13-1909-12_milling,0.9798657718120806,0.8555331698672503,"(2143, 2, 4, 146)",0.9733333333333334,0.9990675990675991,0.0009324009324009324,0.02666666666666667
16791440_xgb_2022-09-14-2058-12_milling,0.967741935483871,0.9929176568984985,"(2135, 10, 0, 150)",1.0,0.9953379953379954,0.004662004662004662,0.0
8633072_knn_2022-09-13-1847-36_milling,0.9714285714285714,1.0,"(1153, 3, 0, 51)",1.0,0.9974048442906575,0.0025951557093425604,0.0
8601842_svm_2022-09-19-0118-20_milling,0.0,0.0,"(0, 0, 0, 0)",0.0,0.0,0.0,0.0
22401228_sgd_2022-09-19-0726-55_milling,0.0,0.0,"(0, 0, 0, 0)",0.0,0.0,0.0,0.0
17978280_lr_2022-09-19-0953-21_milling,0.6777251184834123,0.49881279555323355,"(1948, 197, 0, 150)",1.0,0.9081585081585082,0.09184149184149185,0.0
200266_ridge_2022-09-15-0436-24_milling,0.0,0.0,"(0, 0, 0, 0)",0.0,0.0,0.0,0.0
17328988_nb_2022-09-15-0444-45_milling,0.7020408163265306,0.12458770674153102,"(2578, 276, 16, 344)",0.9555555555555556,0.9032936229852838,0.09670637701471618,0.044444444444444446
