metric,measure,k_fold_i,vib_table__index_mass_quantile__q_0.9,"vib_spindle__fft_coefficient__attr_""angle""__coeff_23","smcdc__fft_coefficient__attr_""imag""__coeff_67","ae_table__fft_coefficient__attr_""real""__coeff_88","vib_table__fft_coefficient__attr_""abs""__coeff_69",smcac__large_standard_deviation__r_0.05,ae_table__ar_coefficient__coeff_6__k_10,"ae_table__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","vib_spindle__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",smcac__energy_ratio_by_chunks__num_segments_10__segment_focus_4
balanced_accuracy,mean,3,0.01903576607609297,0.011466781945187791,0.16458873701401178,0.0112740220767517,0.029188167025768395,0.0,0.192714980718295,0.2796604887443333,0.11101475976779611,0.002894600207684328
balanced_accuracy,std,3,0.0034260249818081016,0.0023811527634344156,0.007620950446461382,0.0019337361434516322,0.004382447652935661,0.0,0.010931590806233498,0.010296421204704117,0.010286955954179819,0.0006172114967792482
accuracy,mean,4,0.017342637011193502,0.014478848669864803,0.04436691379560983,0.020395406309056566,0.028376217473470005,0.0,0.046998110190434664,0.0738770170082861,0.02804186655037071,0.0020351795319087113
accuracy,std,4,0.0023664962553802352,0.0016754795213518156,0.002688204753763932,0.0015871977331191028,0.0029448094704425643,0.0,0.004162787721121432,0.004497926242632968,0.0033821252945101785,0.0009708276119821793
f1,mean,4,0.08688893128132615,0.07195096276746317,0.26803134201518153,0.09215442514692597,0.16587029242513654,0.0,0.26959917287581997,0.498128354886863,0.21878938226031638,0.010174960899082767
f1,std,4,0.011062750327672309,0.008660440461449787,0.014474759317640728,0.006415152761262204,0.017796804169411796,0.0,0.02279886251258449,0.028756612286506424,0.022029134712684747,0.004805365403324854
average_precision,mean,4,0.07870061161349926,0.042934915320626994,0.40609808891690874,0.019538833968361407,0.2272921461674884,0.0,0.35311007365112085,0.6586243418538202,0.2868998944976236,0.00776787213767347
average_precision,std,4,0.011408263113249347,0.007546821920031096,0.02701571367428754,0.004570599857426931,0.02230464611828228,0.0,0.03413728676313076,0.03916666670952434,0.02626580148836102,0.0017356766635170113
balanced_accuracy,mean,4,0.026971882722233376,0.018908732688536364,0.171015808252835,0.011434066167586524,0.09897097603969979,0.0,0.16308582721626202,0.3313566945754885,0.17813407567965775,0.0010908524232507767
balanced_accuracy,std,4,0.006473052743213199,0.0061672552433244,0.011563359798111043,0.0014765653730451518,0.014372402349956114,0.0,0.016529140376461474,0.019017810202693185,0.015731948214568015,0.0005203617845430435
accuracy,mean,5,0.0028169014084507486,0.0043082021541011335,0.031621099143882954,0.0055233360950014375,-0.00303783485225072,0.0,0.016652858326429217,-0.004639602319801113,-0.010604805302402605,-0.0024026512013255786
accuracy,std,5,0.003848144368594394,0.0025616611157813257,0.01038346788334389,0.00228735479048313,0.004385751456747931,0.0,0.009396207741665311,0.007516406106179556,0.005109011247654094,0.0011389997584811428
f1,mean,5,0.002293504754269554,0.0035324202511301675,0.15684544372034395,0.004519787334131272,-0.0026127572806693496,0.0,0.11637679049881379,-0.003961443327113064,-0.009236104329503059,-0.002024766567220147
f1,std,5,0.0031482891790381266,0.0020803546322557347,0.014575756729142107,0.0018484461484752207,0.0037333509555572118,0.0,0.016813465760584265,0.006736595291579521,0.004613183833830685,0.0009645597467071002
average_precision,mean,5,0.02548764821201194,0.00035953480641766805,0.5818358409521021,0.003029927826926911,0.07226126906603737,0.0,0.8531457759170652,0.30973966251758384,0.08536915995312604,0.02448311180827831
average_precision,std,5,0.0162793657582297,0.0006823543853615119,0.044406815813458844,0.0012275983024826072,0.02593990000364208,0.0,0.03330292832521182,0.03647626775334604,0.02990877355217308,0.012435993278307298
balanced_accuracy,mean,5,0.001470588235294079,0.00224913494809685,0.31170703575547865,0.0028835063437139263,-0.0015859284890427131,0.0,0.23829296424452126,-0.002109765474817412,-0.005536332179930825,-0.0012543252595155836
balanced_accuracy,std,5,0.0020089577218397226,0.0013373377883858521,0.025785383651183595,0.001194133750914,0.0022896202458022276,0.0,0.03082589211893497,0.004473383698685847,0.0026672044013488355,0.000594624873912961
accuracy,mean,6,0.012376779846659313,0.004052573932091955,0.0416392844103687,0.0010770354143847674,0.006151880248265751,0.0,0.09138371668492144,0.06223074114640375,0.04415845198977723,0.000602409638554154
accuracy,std,6,0.002783847760599958,0.0012536169925804544,0.004329476384048043,0.0014795430389158244,0.0018795392063645096,0.0,0.005219862184582268,0.005107082395545067,0.004084721307913925,0.001061452483395877
f1,mean,6,0.08831979210625655,0.026132757490653708,0.2856000708684601,0.007082705529400216,0.04222658726455834,0.0,0.5509599363014897,0.383626020687354,0.2317849986786323,0.003940416311506445
f1,std,6,0.018744111173078747,0.00793674344525901,0.026509274897675086,0.009740695932330866,0.013135767753737152,0.0,0.029598243888364992,0.021568441838873666,0.017087527241962615,0.007048252824683633
average_precision,mean,6,0.0722323730640732,0.002258615863744177,0.38834737964029925,0.003362661756325665,0.01944336513268189,0.0,0.7081033508245438,0.5898698716662125,0.11796024696885116,0.0026409609534116863
average_precision,std,6,0.013939594751726812,0.0010264098114569082,0.03575141017523117,0.0014329550279546205,0.00979226964282521,0.0,0.04196237406899047,0.03686455617378128,0.015005470137035343,0.0011688527712199303
balanced_accuracy,mean,6,0.04301283457656863,0.0021511627906976435,0.15135019014187506,0.0008667909902003427,0.013888584174345428,0.0,0.30523219248208283,0.19178897908439374,0.046751682024279616,0.00031976744186043387
balanced_accuracy,std,6,0.010738036939211071,0.0006654373919918601,0.016602064278036736,0.001357044282433855,0.00874373630491934,0.0,0.023249175630490733,0.016071957806376432,0.01058190444458951,0.0005634337891513953
