metric,measure,k_fold_i,"ae_table__fft_coefficient__attr_""abs""__coeff_69",vib_table__partial_autocorrelation__lag_7,ae_table__ar_coefficient__coeff_6__k_10,"vib_spindle__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""","vib_spindle__fft_coefficient__attr_""abs""__coeff_66","ae_spindle__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""","smcdc__fft_coefficient__attr_""angle""__coeff_57","vib_spindle__agg_autocorrelation__f_agg_""median""__maxlag_40","vib_table__fft_coefficient__attr_""real""__coeff_89","ae_spindle__fft_coefficient__attr_""imag""__coeff_90"
accuracy,std,5,0.002638079698224629,0.00650283401973545,0.007700103036082976,0.0028992253701453467,0.0044170288312362326,0.0042595092758990726,0.008366714804357486,0.005879240379047745,0.0022813450900925998,0.002307935091496974
f1,mean,5,0.005764819360766667,0.06666901312955345,0.22712295757944564,0.0032963314113865715,0.022852519012903822,0.030718019799730618,0.2045014960115536,0.006983772124047879,-0.0006846943292358798,0.010399140768856598
f1,std,5,0.0037645798791292994,0.0126814455405978,0.02305520590389526,0.004204335353611915,0.005703910535755781,0.0051733939781651835,0.020020318385698867,0.016221310233966498,0.0033690338822665437,0.0032377307434439595
average_precision,mean,5,0.17800284245683642,0.12374557795238886,0.8639758796947448,-0.00011510243561369352,0.05461525897402395,0.015566760057594187,0.576106788528783,0.32260379101419623,0.0005241043761799643,0.0007367528085839292
average_precision,std,5,0.03457500135153233,0.026677390910563606,0.033523631477315186,0.0003070340283808728,0.026558358495869676,0.010921362403738116,0.043026961299275066,0.05430538398730272,0.0009369053122752734,0.002638339208988542
balanced_accuracy,mean,5,0.0020905420991926787,0.0657199154171473,0.3409073433294887,0.0011966551326413554,0.008693771626297645,0.011952133794694404,0.3090542099192619,0.04356978085351796,-0.00023068050749704602,0.0038062283737024844
balanced_accuracy,std,5,0.001377232783631974,0.0191906710698685,0.031961703440558285,0.0015135661858847085,0.0023059488751306814,0.0022237144013885065,0.02653655237009731,0.020765163402835372,0.0011909963337983513,0.0012048778786491587
accuracy,mean,6,0.01832785688207377,0.041858342460752124,0.060642570281124526,-0.0009127418765972672,0.007374954362906191,0.020554947060971183,0.05073019350127786,0.032840452719970804,4.070817756958907e-17,0.0007119386637459183
accuracy,std,6,0.002951644093670352,0.004806987827085243,0.004997159662934373,0.001950792261028483,0.002488556873012334,0.0021664116391598084,0.003290380662294285,0.0037530898251237808,0.001421066115810766,0.0019803764513992043
f1,mean,6,0.07512904256892859,0.24126593598147075,0.25671297482132743,-0.0022899093278123156,0.03589175073819448,0.08050806675799495,0.2913582065595945,0.15359511120103697,-5.485712414364426e-05,0.003026757025965595
f1,std,6,0.01033708899465351,0.02608699645905503,0.019032573182637364,0.009563092846229335,0.011890390421217669,0.007548866205837143,0.015098040252637918,0.014660233187040544,0.00625785410702587,0.00863634669496208
average_precision,mean,6,0.04262401410890063,0.32297031197722254,0.4257242308757734,0.016022497800728945,0.035088293614012105,0.020910340674188652,0.6512762682670588,0.19579790727516913,0.007986944320674554,0.0025650115815561538
average_precision,std,6,0.009600132141861709,0.02953705712523286,0.04133169371805088,0.0076621878392192306,0.01215377990778315,0.006050168594685373,0.027890497653957687,0.020095710804884023,0.003849382290241752,0.0030651409465157963
balanced_accuracy,mean,6,0.014892679537809029,0.17020440251572336,0.13517478426210333,0.003794244551704018,0.014242723416703285,0.010910852713178336,0.2073731168641218,0.07703945443908153,4.070817756958907e-17,0.00037790697674422815
balanced_accuracy,std,6,0.0037371809702090373,0.02114469127901718,0.016465170583198113,0.004390160412054348,0.007215852548642875,0.0011499615270656415,0.012087828531669308,0.009802883935951034,0.0007543217231018788,0.0010512114535624851
