metric,measure,k_fold_i,"current__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)__4","current__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4__6",current__fourier_entropy__bins_100__3,"current__fft_coefficient__attr_""imag""__coeff_58__0",current__partial_autocorrelation__lag_0__4,"current__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""__3","current__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)__6",current__quantile__q_0.4__4,"current__fft_coefficient__attr_""angle""__coeff_70__5","current__fft_coefficient__attr_""angle""__coeff_23__5"
balanced_accuracy,std,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,6,0.25647513307177694,0.019113648867386354,0.14662831206258456,0.2737030795680795,0.0,0.15703666826823304,0.21009857881463756,0.21411213933794254,0.2654604845662495,0.25238976374267463
average_precision,std,6,0.03684716958337458,0.01340600690404035,0.023570083867580006,0.031620045213991664,0.0,0.03303169120835532,0.0328793111805434,0.030697592521679664,0.03062378568507484,0.029874180300832096
balanced_accuracy,mean,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,7,0.4106729213740883,0.12295401354101217,0.38221260033291454,0.3011784071723466,0.0,0.3564589246248959,0.313209114228873,0.7587801665854879,0.47898558629502,0.42384117718312636
average_precision,std,7,0.09947268651273317,0.02845626278009924,0.10598575466581413,0.06673833921722207,0.0,0.062004763206944855,0.048244616315108776,0.02975669480280705,0.06798845045451639,0.08724062780677123
balanced_accuracy,mean,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,8,0.1357045833494856,0.30092676662100853,0.13677916801557913,0.2616294911710102,0.0,0.19230151279905364,0.19932561191209824,0.12431835040523674,0.18255276247628263,0.14144577989581203
average_precision,std,8,0.026802929257706352,0.06593180035317397,0.02291541348940172,0.0407965675232477,0.0,0.03424436354918921,0.040960155397162384,0.02561831558008633,0.04662717515676706,0.03243268963292046
balanced_accuracy,mean,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,9,0.4134221163543264,0.09799868518099644,0.28314034454789566,0.26179262579302204,0.0,0.33411516474261743,0.285476703445906,0.6177144102810564,0.3787454085388019,0.3156645119210558
average_precision,std,9,0.04634283326847574,0.023868231943211606,0.04695888192803133,0.0446933795046548,0.0,0.045546346532187434,0.037386245552855434,0.038643462694948595,0.05746383564775881,0.059977225976100064
balanced_accuracy,mean,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
