metric,measure,k_fold_i,"current__fft_coefficient__attr_""real""__coeff_34__3",current__spkt_welch_density__coeff_2__4,current__energy_ratio_by_chunks__num_segments_10__segment_focus_8__4,current__index_mass_quantile__q_0.1__5,"current__fft_coefficient__attr_""real""__coeff_9__5","current__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6__4","current__linear_trend__attr_""intercept""__5","current__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""__4",current__c3__lag_2__5,"current__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""__6"
accuracy,mean,0,0.0,0.0,0.0,0.0017322834645669713,0.0,0.0,0.1440419947506562,0.0,0.0,0.0
accuracy,std,0,0.0,0.0,0.0,0.003025098064928906,0.0,0.0,0.007109712526335765,0.0,0.0,0.0
f1,mean,0,0.0,0.0,0.0,-0.10948827762389643,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,0,0.0,0.0,0.0,0.07216634079690142,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,0,-0.006012478328268613,0.15355835187888597,0.17949473522553502,-0.002607617499885654,0.009976177930132755,0.016136045201202747,0.2498316119526421,0.015500457522447008,0.10317481157823694,0.028971802420629023
average_precision,std,0,0.017386922775989678,0.024455133846039714,0.025167595040197485,0.047824739110185165,0.009867981709552337,0.012816519700672605,0.001862288251862466,0.03516440831815712,0.02225946313849366,0.027820362600053484
balanced_accuracy,mean,0,0.0,0.0,0.0,-0.030201879940183737,0.0,0.0,0.07571743929359823,0.0,0.0,0.0
balanced_accuracy,std,0,0.0,0.0,0.0,0.022510309572317495,0.0,0.0,0.003737307495217888,0.0,0.0,0.0
accuracy,mean,1,0.001482326111744577,0.2687571265678449,0.20330672748004558,0.30763968072976056,-0.0011782592170277513,0.010756366400608142,0.2748384644621817,0.030596731280881796,-0.003382744203724819,0.02109464082098063
accuracy,std,1,0.0012883657359694675,0.009604089571204092,0.009338693950925353,0.009321274682459496,0.0017288582919869411,0.0029098125496652637,0.00929838664569236,0.004766224326865996,0.0010402076916308676,0.005370488725401606
f1,mean,1,0.09701335930438097,0.43458583951449875,0.4359635715280172,0.4363945462112871,-0.06629567991124058,0.1021832378635083,0.49867190862044203,0.06784045449974353,-0.19162055335968387,0.09565558101780233
f1,std,1,0.09296658220971384,0.01417791349803824,0.015228693402879691,0.009943996630126354,0.10287438749248837,0.05586855164032135,0.0029711884324606884,0.03332080737832239,0.05400417402020529,0.0679848269999351
average_precision,mean,1,0.26214673013231704,0.873734003716286,0.9425553429862279,0.9490037364361001,0.13763396854778845,0.45809692912195066,0.9680019043552565,0.36027277566536087,-0.00014521675019942468,0.44132988276320223
average_precision,std,1,0.09145049259534296,0.049339820919249815,0.006997248262946417,0.005953371116903759,0.07758287782058552,0.08646988599123341,0.0010048588933320253,0.0855402720089644,0.013298400411628285,0.08110961601995029
balanced_accuracy,mean,1,0.0367826759474091,0.01880510440835264,0.056475895849445686,0.009106728538283038,-0.03444444444444447,-0.04256638308842488,0.2981180716679556,-0.2770314514050013,-0.09888888888888893,-0.13993426140757928
balanced_accuracy,std,1,0.036840883603124035,0.06352432941381443,0.05082726743405487,0.050549885789285216,0.050540290735751836,0.04283790438109664,0.013527042271244875,0.028188107673216188,0.03040873818534224,0.05390856873092005
accuracy,mean,2,-0.0001607717041800664,0.17545551982851018,-0.007609860664523068,0.14983922829581992,-0.0008574490889603344,-0.0024651661307609762,0.02481243301178991,0.010718113612004284,-0.0036977491961414977,0.0
accuracy,std,2,0.002170914158684776,0.007537813921765165,0.0031045548462937155,0.009041413380048508,0.0008020701793727554,0.001154376164444714,0.006892380442257621,0.002636307368970801,0.0028804618757506434,0.0
f1,mean,2,0.0018378556505851407,0.4756400622692497,0.351588202532475,0.3221270377246277,-0.006837606837606872,-0.022482293194745078,0.10354565451321435,0.016694317763658685,-0.013950082231815979,0.0
f1,std,2,0.02421922074833272,0.016667933865624263,0.10746126615400937,0.01771191958296037,0.006395995532946942,0.01336224599924646,0.053351641231501844,0.026834102896901524,0.04773684052612412,0.0
average_precision,mean,2,0.04602589737372645,0.45602463645278196,0.3240286956852525,0.33543329825613133,0.010508421078284083,0.0157425278047493,0.0776148086537456,0.022701606196445675,0.007219450705228227,0.0014200270289534392
average_precision,std,2,0.01906252941960882,0.0025044507763188157,0.07344436907018041,0.03595811377271897,0.016308664915695045,0.021324785657313532,0.08942020708157161,0.038666952815256624,0.04532059657932994,0.009568853835894602
balanced_accuracy,mean,2,0.004570018796992507,0.38167684837092736,0.2973410087719299,-0.0012805451127819315,-0.00043859649122802345,-0.004750156641603942,-0.043135181704260644,-0.08058427318295736,0.02020676691729325,0.0
balanced_accuracy,std,2,0.017790015042448912,0.03958038127751335,0.0365194936104953,0.04317749187187467,0.0004102694503041165,0.010611168784663774,0.05657463503354136,0.025889934754428977,0.0353254471365213,0.0
accuracy,mean,3,0.002141414141414155,0.15252525252525254,0.036202020202020214,0.1381010101010101,8.080808080808133e-05,0.005373737373737408,0.22630303030303037,0.002020202020202033,0.00060606060606061,0.0005252525252525287
accuracy,std,3,0.0010229485980745249,0.007040628664735438,0.0032484446452107937,0.007703939154886522,0.0008240839617927785,0.0008675115375185466,0.009783202435443514,0.001962821462867264,0.001355192713636245,0.0022930850300869176
f1,mean,3,0.08465772727703914,0.2164276735849114,-0.025839303333911344,0.15323183364629678,-0.008865345181134665,0.264532279314888,0.17716902511867563,-0.052434589095052574,0.04265880218081476,0.010738283072857202
