metric,measure,k_fold_i,current__autocorrelation__lag_9__4,"current__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""__3",current__index_mass_quantile__q_0.1__3,"current__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""__4","current__fft_coefficient__attr_""imag""__coeff_25__6",id__5,"current__fft_coefficient__attr_""abs""__coeff_70__6","current__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""__3",current__partial_autocorrelation__lag_1__5,current__index_mass_quantile__q_0.8__6
f1,std,8,0.006885678365220487,0.007375458136653466,0.006354227987194408,0.0029058852359711536,0.014573400750377316,0.015250400126809751,0.015059573322290024,0.00657882693257924,0.004667957963746072,0.004734522274530728
average_precision,mean,8,-0.002860238986120344,-0.00025228213145669085,-0.0024230770047398383,-0.003994629089896627,0.015417540478945887,-0.010162743598630267,-0.012808038462512142,-0.0020227797460008134,-0.0042078411006083866,-0.008797630549188234
average_precision,std,8,0.008519509175807615,0.0052513475111135455,0.004697439033997955,0.005847464926555592,0.024878028315788208,0.008509047028462885,0.020839420094635384,0.004829285087100244,0.0023928033613103417,0.005375956085658408
balanced_accuracy,mean,8,-0.020551378446115223,-0.011090225563909716,-0.007894736842105203,0.01885964912280707,0.01698500282965484,0.008589012854717503,0.01166929420325012,-0.005670426065162852,-0.003728070175438547,0.001911027568922367
balanced_accuracy,std,8,0.0027102166358248282,0.00341809065087365,0.0030752860129844802,0.0021695851745840624,0.023229988096330846,0.02320840883976991,0.022957094504879986,0.0033754721019035715,0.002492324950275544,0.002729162490572957
accuracy,mean,9,-0.026976976976977037,-0.00920920920920926,-0.008908908908908957,-0.03608608608608613,-0.003853853853853906,0.027677677677677624,0.0006506506506506156,-0.007307307307307357,-0.006306306306306361,0.056556556556556524
accuracy,std,9,0.006304915873854981,0.004822498286464842,0.004667284575325235,0.005350675736010649,0.0019261142547441507,0.005613866714081075,0.0013806921145278724,0.005410037684433096,0.0038457202627224366,0.003997742852395564
f1,mean,9,0.03468169079369224,0.04622556728422684,0.011965616390944052,0.027455915859326305,-0.005377323644840824,0.02720361555481416,0.0008779583358931013,0.038405614525268014,-0.0008796658965272375,0.06765235688634277
f1,std,9,0.026645667242105618,0.01949425093340472,0.011727234489542082,0.03164924562867922,0.0027109702482356036,0.011680127882758441,0.0018767571121365673,0.01734976429757295,0.01018397585850397,0.0064706692706826
average_precision,mean,9,0.009937270054134454,0.0153148757361122,0.0023850663683413877,-0.011133844931484848,-3.772664643407475e-05,0.003691367251943159,-0.0006382750099076073,0.013846815587280022,0.0002476495758200914,0.0124723296067691
average_precision,std,9,0.013379429361408153,0.009363998435308586,0.006819464648368457,0.008170180328380211,0.0003011002492507922,0.007923770372152982,0.0002995045995937328,0.009062773677444373,0.0026870217762728853,0.005032357859024914
balanced_accuracy,mean,9,0.07285150540777546,0.06722814966384096,0.026909772970866164,0.07501461560947088,-0.002063236870310851,0.0049619994153755915,0.0003483386923901414,0.05663061482997171,0.007183572054954675,0.0369665302543116
balanced_accuracy,std,9,0.022129352030302193,0.01894059859230156,0.010329165727821601,0.026925971571933823,0.0010311833550318479,0.011870378809329103,0.0007391808265881001,0.016203777146201224,0.010430853909560101,0.007693566854096293
