metric,measure,k_fold_i,current__ratio_beyond_r_sigma__r_5__4,"current__fft_coefficient__attr_""imag""__coeff_51__3",current__number_peaks__n_5__4,"current__fft_coefficient__attr_""real""__coeff_91__6","current__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4__6","current__fft_coefficient__attr_""angle""__coeff_13__6","current__fft_coefficient__attr_""real""__coeff_2__4","current__fft_aggregated__aggtype_""skew""__4","current__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""__3","current__fft_coefficient__attr_""real""__coeff_87__6"
f1,mean,5,0.0,0.041143635391096375,0.04177711531521003,0.05025454297645527,0.0390867029099902,0.035030277720746024,0.017921914349882957,0.05199690850259707,0.04335102080514099,0.052390656003131926
f1,std,5,0.0,0.006261063487473125,0.003892128069421608,0.0054938620383392115,0.004972221308682406,0.005799928999207804,0.0066326793471955395,0.011181701538697577,0.005773650306615396,0.008181115105495695
average_precision,mean,5,0.0,0.42269822170403437,0.2993005807205377,0.48497980756515224,0.31290052048303085,0.32846518529279584,0.35734447450471224,0.5148392309247716,0.45172707800035317,0.4924451540953758
average_precision,std,5,0.0,0.06350135881425063,0.05724168116475778,0.05387473449384193,0.07296985467915372,0.058636995994659616,0.05504940859646419,0.0691214799343485,0.06811605319080823,0.0661011235992003
balanced_accuracy,mean,5,0.0,0.03430926916221034,0.03375668449197861,0.0566681521093286,0.03121657754010696,0.035417409387997624,0.015698158051099222,0.07271687462863932,0.04068627450980396,0.057188057040998226
balanced_accuracy,std,5,0.0,0.007962136314287433,0.003815629186618463,0.010438450795631375,0.004727122248191749,0.012980209113487847,0.009761087308436663,0.02502042690629962,0.010686196458736821,0.017859263381258372
accuracy,mean,6,0.0,0.06050420168067231,0.03294117647058828,0.034117647058823565,0.06341736694677874,0.03389355742296921,0.03378151260504206,0.07148459383753505,0.05815126050420172,0.04050420168067231
accuracy,std,6,0.0,0.01341031843539027,0.008410081346686941,0.011964293399534696,0.011240278950350211,0.008798372389228747,0.006947908103729228,0.012604917521949801,0.011026029893685176,0.010738342849611547
f1,mean,6,0.0,0.030033217560110407,0.014544819892830409,0.015681707244646063,0.026933830811548227,0.025562537246698682,0.014912213257154786,0.0364324941344282,0.029591645803071876,0.020835986422468
f1,std,6,0.0,0.007087651464529857,0.0035390201339656215,0.00562213338750671,0.004571170155700649,0.008192312313882085,0.0029048010807895095,0.004749893399923514,0.005158434114903776,0.006320355866815619
average_precision,mean,6,0.0,0.43763195009977346,0.28964242913665816,0.4917759054834166,0.3991839263241052,0.4346234725074049,0.26706358853607204,0.3973486452644985,0.45597603495724154,0.48459193873627504
average_precision,std,6,0.0,0.05294999128370364,0.028614477580656845,0.04217006700653474,0.05435809213906875,0.043927948573695814,0.03418430256649995,0.03279824991506216,0.05446091334351351,0.04558336942558435
balanced_accuracy,mean,6,0.0,0.04394949494949495,0.017818181818181813,0.02015488215488214,0.03498316498316497,0.04383838383838383,0.018272727272727267,0.055670033670033654,0.04369696969696967,0.029730639730639722
balanced_accuracy,std,6,0.0,0.013840284713015079,0.0045490894557079255,0.008454922909858349,0.007197909836797084,0.016956023030229295,0.0037581866561080686,0.008335373011614581,0.01003485406432178,0.011216892646071609
accuracy,mean,7,0.0,-0.01329507412721188,-0.013008130081300816,-0.013677666188426604,0.01114299378287899,0.13835485413677664,0.11176470588235293,0.058632233381157306,-0.0008130081300813089,-0.007747489239598285
accuracy,std,7,0.0,0.008663408416431744,0.007333776878702079,0.003699489164192014,0.007488848689418703,0.008280737627654392,0.009852325947626694,0.010715566297614736,0.007925088874844556,0.005934032470299791
f1,mean,7,0.0,-0.010196535793197533,0.01627326502030355,-0.004342158015329101,0.023207932113533922,0.09143950381941171,0.08644960532446623,0.08572119287923578,0.006248588322440845,0.0027331769181758382
f1,std,7,0.0,0.015315423976306334,0.015606150320368415,0.010663045349612604,0.01024844791683293,0.0032011541673249654,0.006272145710924901,0.010325781994898572,0.011962382719634634,0.009690487912948404
average_precision,mean,7,0.0,0.3448389540898568,0.43319646083775676,0.350473161204587,0.3356032219097755,0.7151235301159581,0.427830506451225,0.5567814556223037,0.3865834128041757,0.41885407174102546
average_precision,std,7,0.0,0.07884567211889815,0.09480293680318297,0.10448645165901774,0.06289813040974233,0.02431894024233938,0.08782786254487383,0.09482448137042773,0.07081110772983824,0.06634477016448273
balanced_accuracy,mean,7,0.0,0.010593027044639994,0.07702671880091239,0.025610948191593413,0.039380905832518805,0.07069892473118285,0.08210492016943632,0.14623492994460746,0.020231345715216714,0.028641251221896445
balanced_accuracy,std,7,0.0,0.02202709211480953,0.03249901981179374,0.02525966432264454,0.018798422932376487,0.004231432644043339,0.020074941655984693,0.028966685658900693,0.026634453086530244,0.020454098734860596
accuracy,mean,8,0.0,0.025103611604499764,0.03037300177619901,0.04795737122557731,0.04612196566015398,0.025814091178212015,-0.0007104795737121935,-0.0018946121965659553,0.02161042036708116,0.03795145056246307
accuracy,std,8,0.0,0.010117926502088337,0.006243703494693897,0.01090109688544818,0.008349814442927178,0.010693969832919505,0.009156186345635663,0.011958567024814475,0.01079527025223308,0.011768425684498362
f1,mean,8,0.0,0.01905784690390994,0.016084667790984778,0.02480626595462668,0.02590936397580215,0.026579975227172228,0.0013130394446907187,0.0017723822159847913,0.014526278165801513,0.024488925131896246
f1,std,8,0.0,0.006819732747443138,0.0031167107493629527,0.00553658040764765,0.005640399624551492,0.008803086939975422,0.00664655426972994,0.00920797562452588,0.006199484711216072,0.007584748533593545
average_precision,mean,8,0.0,0.47339443094326317,0.39331306242548286,0.3961608114059022,0.41290986050085543,0.4996213658855687,0.3259545423119257,0.40900156886508726,0.46491807429258636,0.41240166102232517
average_precision,std,8,0.0,0.04184893692876853,0.027527788422693655,0.038152804672192585,0.04306674120831749,0.037133784198007995,0.031355343898637957,0.034596994999838634,0.028028330516142556,0.042841889220205036
balanced_accuracy,mean,8,0.0,0.027966084566254337,0.016071428571428566,0.02638855202522435,0.030480434958363653,0.046569043576683664,0.004180814940577242,0.006592085051338015,0.019029428409733998,0.03273910582908884
balanced_accuracy,std,8,0.0,0.012424072713084447,0.003303764161196101,0.007684232220721962,0.011359031484471285,0.017777189775943444,0.010106897285828828,0.014075046869884953,0.010357045138411772,0.013448963927641243
accuracy,mean,9,0.0,0.029129129129129103,0.014414414414414394,0.03458458458458455,0.021371371371371337,0.18328328328328325,0.12707707707707705,0.10630630630630626,0.05775775775775774,0.03653653653653651
accuracy,std,9,0.0,0.008202102272521118,0.007903471849109861,0.007512344121049833,0.009643048469191394,0.009472029823570474,0.011205959194527599,0.010802465915078054,0.009674559452714521,0.0071625801081074345
f1,mean,9,0.0,0.04646807218832252,0.027820562136900717,0.05961525930193406,0.04513509990983934,0.20266620697111248,0.1394505903215736,0.15637400414924313,0.08802461581773914,0.059501593655656944
f1,std,9,0.0,0.012436740588175286,0.011652112014160018,0.011893978367983728,0.013335654127891013,0.013440749362220039,0.009018695397816693,0.013059785957391067,0.012462943415611796,0.01237986103057367
average_precision,mean,9,0.0,0.32161348548699226,0.2953392500266963,0.33207106704006933,0.47601087443145307,0.7559241145234795,0.47074941804115666,0.5452493774241174,0.3624172644973448,0.28101960149048405
average_precision,std,9,0.0,0.0597821996027159,0.03444136399880584,0.042768972945746275,0.048146356490991804,0.04149491632558032,0.04340721700724739,0.04903056889479551,0.047570301110769195,0.04590172571775082
balanced_accuracy,mean,9,0.0,0.02826658871674953,0.02144475299619997,0.04315502289778823,0.03995298645620194,0.16887484166423078,0.0796489817792069,0.13329557634220018,0.06048913573029334,0.039624135243106345
balanced_accuracy,std,9,0.0,0.011092494156092148,0.008648195138256768,0.013356060076283545,0.014290074368237609,0.025737091066840162,0.010075579002943863,0.020668071891381555,0.014304856610244424,0.014059710134300586
